"Date","Price","Open","High","Low","Vol.","Change %"
"12/24/2015","53.96","53.94","53.97","53.94","3.08M","0.06%"
"12/23/2015","53.93","53.93","53.95","53.93","9.88M","0.00%"
"12/22/2015","53.93","53.92","53.94","53.91","6.66M","0.02%"
"12/21/2015","53.92","53.89","53.93","53.89","14.03M","2.02%"
"12/18/2015","52.85","53.01","53.07","52.81","4.35M","-0.26%"
"12/17/2015","52.99","53.10","53.14","52.99","2.74M","-0.02%"
"12/16/2015","53.00","53.02","53.11","52.94","2.76M","-0.02%"
"12/15/2015","53.01","53.08","53.18","52.96","2.03M","0.04%"
"12/14/2015","52.99","53.04","53.12","52.93","2.60M","0.00%"
"12/11/2015","52.99","53.07","53.20","52.90","2.99M","-0.23%"
"12/10/2015","53.11","53.11","53.17","53.09","1.92M","0.04%"
"12/09/2015","53.09","53.20","53.25","53.05","2.73M","-0.17%"
"12/08/2015","53.18","53.19","53.27","53.12","1.93M","0.00%"
"12/07/2015","53.18","53.25","53.29","53.13","1.09M","-0.04%"
"12/04/2015","53.20","52.90","53.33","52.87","1.92M","0.62%"
"12/03/2015","52.87","52.86","52.97","52.80","2.43M","0.04%"
"12/02/2015","52.85","52.86","52.93","52.78","1.71M","0.00%"
"12/01/2015","52.85","52.82","52.99","52.80","3.89M","0.09%"
"11/30/2015","52.80","52.81","52.90","52.70","3.32M","-0.04%"
"11/27/2015","52.82","52.81","52.85","52.78","746.86K","0.02%"
"11/25/2015","52.81","52.82","52.87","52.75","1.42M","-0.02%"
"11/24/2015","52.82","52.75","52.86","52.70","2.23M","0.09%"
"11/23/2015","52.77","52.73","52.80","52.65","1.30M","0.09%"
"11/20/2015","52.72","52.70","52.77","52.69","2.12M","0.06%"
"11/19/2015","52.69","52.72","52.77","52.64","2.93M","-0.08%"
"11/18/2015","52.73","52.70","52.83","52.64","3.61M","0.08%"
"11/17/2015","52.69","52.73","52.74","52.61","1.37M","-0.06%"
"11/16/2015","52.72","52.57","52.72","52.55","1.41M","0.25%"
"11/13/2015","52.59","52.61","52.69","52.51","1.25M","0.00%"
"11/12/2015","52.59","52.58","52.67","52.51","1.14M","-0.02%"
"11/11/2015","52.60","52.60","52.68","52.56","891.79K","-0.11%"
"11/10/2015","52.66","52.55","52.67","52.50","1.09M","0.11%"
"11/09/2015","52.60","52.56","52.65","52.46","1.34M","0.06%"
"11/06/2015","52.57","52.58","52.64","52.52","2.27M","-0.30%"
"11/05/2015","52.73","52.71","52.76","52.65","1.52M","0.04%"
"11/04/2015","52.71","52.70","52.73","52.65","1.62M","0.00%"
"11/03/2015","52.71","52.67","52.73","52.64","1.41M","0.02%"
"11/02/2015","52.70","52.68","52.71","52.52","1.17M","0.29%"
"10/30/2015","52.55","52.65","52.78","52.55","2.52M","-0.21%"
"10/29/2015","52.66","52.69","52.72","52.59","1.74M","-0.25%"
"10/28/2015","52.79","52.66","52.80","52.60","2.11M","0.30%"
"10/27/2015","52.63","52.60","52.75","52.56","2.06M","-0.11%"
"10/26/2015","52.69","52.50","52.77","52.50","1.42M","0.23%"
"10/23/2015","52.57","52.60","52.69","52.51","2.64M","-0.44%"
"10/22/2015","52.80","52.63","52.87","52.63","3.13M","0.53%"
"10/21/2015","52.52","52.69","52.80","52.50","1.97M","-0.32%"
"10/20/2015","52.69","52.68","52.73","52.53","2.46M","0.00%"
"10/19/2015","52.69","52.72","52.79","52.64","1.65M","-0.08%"
"10/16/2015","52.73","52.84","52.84","52.66","1.63M","-0.08%"
"10/15/2015","52.77","52.76","52.84","52.69","2.41M","0.09%"
"10/14/2015","52.72","52.30","52.89","52.29","5.07M","0.82%"
"10/13/2015","52.29","52.50","52.53","52.26","2.55M","-0.38%"
"10/12/2015","52.49","52.49","52.60","52.45","2.12M","0.00%"
"10/09/2015","52.49","51.62","52.54","51.58","7.01M","1.49%"
"10/08/2015","51.72","51.15","51.76","51.15","6.11M","2.07%"
"10/07/2015","50.67","50.12","50.83","50.02","5.60M","1.50%"
"10/06/2015","49.92","50.28","50.38","49.90","10.51M","-1.03%"
"10/05/2015","50.44","50.15","50.50","50.03","2.62M","0.58%"
"10/02/2015","50.15","49.83","50.19","49.61","3.14M","0.32%"
"10/01/2015","49.99","50.15","50.25","49.79","3.11M","-0.18%"
"09/30/2015","50.08","49.87","50.21","49.71","3.59M","0.87%"
"09/29/2015","49.65","50.27","50.27","49.61","3.27M","-0.92%"
"09/28/2015","50.11","50.21","50.42","50.11","2.86M","-0.32%"
"09/25/2015","50.27","50.42","50.50","50.08","1.98M","-0.08%"
"09/24/2015","50.31","50.39","50.52","50.23","2.66M","-0.20%"
"09/23/2015","50.41","50.36","50.52","50.32","1.57M","0.20%"
"09/22/2015","50.31","50.25","50.41","50.17","3.94M","-0.26%"
"09/21/2015","50.44","50.40","50.62","50.30","2.03M","0.26%"
"09/18/2015","50.31","50.33","50.51","50.27","5.57M","-0.28%"
"09/17/2015","50.45","50.52","50.67","50.38","3.04M","-0.28%"
"09/16/2015","50.59","50.51","50.62","50.42","2.34M","0.02%"
"09/15/2015","50.58","50.54","50.64","50.45","2.38M","0.28%"
"09/14/2015","50.44","50.58","50.69","50.34","2.84M","-0.22%"
"09/11/2015","50.55","50.47","50.63","50.31","1.86M","0.12%"
"09/10/2015","50.49","50.19","50.55","50.19","3.00M","0.58%"
"09/09/2015","50.20","50.46","50.49","49.99","3.19M","0.00%"
"09/08/2015","50.20","50.55","50.60","50.09","6.25M","2.22%"
"09/04/2015","49.11","48.35","49.40","48.26","2.74M","0.33%"
"09/03/2015","48.95","49.20","49.24","48.76","2.29M","-0.22%"
"09/02/2015","49.06","48.59","49.07","48.31","2.31M","1.74%"
"09/01/2015","48.22","48.17","48.60","47.84","3.74M","-0.68%"
"08/31/2015","48.55","48.41","48.81","48.20","1.77M","-0.12%"
"08/28/2015","48.61","48.27","48.68","48.22","1.64M","-0.02%"
"08/27/2015","48.62","48.15","48.96","47.95","3.57M","1.48%"
"08/26/2015","47.91","47.42","48.17","46.33","4.39M","2.94%"
"08/25/2015","46.54","47.53","48.00","46.54","5.41M","-0.41%"
"08/24/2015","46.73","46.66","47.75","43.89","6.07M","-2.99%"
"08/21/2015","48.17","48.40","49.06","47.94","4.74M","-0.99%"
"08/20/2015","48.65","48.91","49.36","48.65","2.53M","-1.26%"
"08/19/2015","49.27","48.98","49.42","48.58","2.30M","0.65%"
"08/18/2015","48.95","49.42","49.44","48.82","2.36M","-0.85%"
"08/17/2015","49.37","49.08","49.39","48.91","1.08M","0.69%"
"08/14/2015","49.03","49.37","49.42","48.94","2.07M","-0.59%"
"08/13/2015","49.32","49.39","49.73","49.21","1.40M","-0.14%"
"08/12/2015","49.39","49.37","49.57","49.21","1.56M","-0.28%"
"08/11/2015","49.53","49.72","49.83","49.34","1.64M","-0.62%"
"08/10/2015","49.84","49.83","50.00","49.74","1.63M","0.20%"
"08/07/2015","49.74","49.73","49.82","49.52","1.37M","0.20%"
"08/06/2015","49.64","50.02","50.09","49.38","2.18M","-1.15%"
"08/05/2015","50.22","50.10","50.28","50.03","1.81M","0.34%"
"08/04/2015","50.05","49.75","50.10","49.70","1.46M","0.42%"
"08/03/2015","49.84","49.63","50.00","49.46","1.65M","0.36%"
"07/31/2015","49.66","49.92","49.94","49.50","1.70M","-0.36%"
"07/30/2015","49.84","49.46","50.00","49.40","1.46M","0.34%"
"07/29/2015","49.67","49.40","49.76","49.25","2.00M","0.38%"
"07/28/2015","49.48","49.03","49.48","48.70","2.71M","1.14%"
"07/27/2015","48.92","49.06","49.38","48.91","2.00M","-0.39%"
"07/24/2015","49.11","49.51","49.62","48.93","2.85M","-0.65%"
"07/23/2015","49.43","49.49","49.87","49.35","1.52M","0.02%"
"07/22/2015","49.42","49.91","50.04","49.39","3.78M","-0.96%"
"07/21/2015","49.90","49.80","50.17","49.69","2.20M","0.10%"
"07/20/2015","49.85","50.35","50.35","49.79","3.90M","-0.97%"
"07/17/2015","50.34","50.45","50.47","50.25","2.74M","-0.44%"
"07/16/2015","50.56","50.41","50.57","50.25","2.74M","0.44%"
"07/15/2015","50.34","50.15","50.42","50.11","2.14M","0.16%"
"07/14/2015","50.26","50.33","50.39","50.21","2.02M","0.02%"
"07/13/2015","50.25","50.00","50.25","49.71","2.27M","1.01%"
"07/10/2015","49.75","49.69","49.98","49.43","5.53M","0.59%"
"07/09/2015","49.46","51.34","51.36","49.20","20.77M","-3.40%"
"07/08/2015","51.20","51.37","51.39","51.10","4.29M","-0.56%"
"07/07/2015","51.49","51.45","51.49","51.26","4.89M","0.18%"
"07/06/2015","51.40","51.24","51.48","51.23","2.12M","0.12%"
"07/02/2015","51.34","51.37","51.44","51.26","2.91M","0.14%"
"07/01/2015","51.27","51.35","51.40","51.27","3.91M","0.14%"
"06/30/2015","51.20","51.18","51.35","51.17","4.11M","0.18%"
"06/29/2015","51.11","51.15","51.34","51.10","3.72M","-0.37%"
"06/26/2015","51.30","51.30","51.40","51.16","6.67M","0.04%"
"06/25/2015","51.28","51.24","51.42","51.17","5.28M","0.12%"
"06/24/2015","51.22","51.33","51.39","51.20","4.90M","-0.23%"
"06/23/2015","51.34","51.48","51.52","51.32","4.40M","-0.14%"
"06/22/2015","51.41","51.51","51.51","51.40","2.73M","0.18%"
"06/19/2015","51.32","51.52","51.54","51.22","6.39M","-0.27%"
"06/18/2015","51.46","51.54","51.59","51.44","4.44M","-0.08%"
"06/17/2015","51.50","51.65","51.67","51.49","4.54M","-0.29%"
"06/16/2015","51.65","51.55","51.73","51.53","4.26M","0.19%"
"06/15/2015","51.55","51.55","51.65","51.53","5.38M","-0.08%"
"06/12/2015","51.59","51.54","51.63","51.47","5.16M","0.00%"
"06/11/2015","51.59","51.58","51.60","51.51","5.59M","0.08%"
"06/10/2015","51.55","51.50","51.63","51.50","3.74M","0.10%"
"06/09/2015","51.50","51.44","51.59","51.43","5.86M","0.18%"
"06/08/2015","51.41","51.56","51.62","51.41","5.09M","-0.10%"
"06/05/2015","51.46","51.45","51.66","51.41","7.23M","0.04%"
"06/04/2015","51.44","51.68","51.73","51.37","14.61M","-0.56%"
"06/03/2015","51.73","51.73","51.76","51.66","14.26M","0.06%"
"06/02/2015","51.70","51.64","51.79","51.54","19.88M","0.04%"
"06/01/2015","51.68","51.89","51.91","51.56","74.33M","5.79%"
"05/29/2015","48.85","49.77","50.10","48.44","21.36M","4.00%"
"05/28/2015","46.97","47.57","47.57","46.58","5.21M","-1.86%"
"05/27/2015","47.86","46.92","49.52","46.69","6.48M","2.40%"
"05/26/2015","46.74","47.15","47.24","46.57","2.77M","-1.33%"
"05/22/2015","47.37","47.01","47.69","46.90","2.45M","0.70%"
"05/21/2015","47.04","46.57","47.36","46.40","2.76M","0.79%"
"05/20/2015","46.67","46.87","47.28","46.65","4.36M","-0.38%"
"05/19/2015","46.85","47.02","47.38","46.60","5.67M","-0.17%"
"05/18/2015","46.93","46.95","47.90","46.50","8.75M","5.65%"
"05/15/2015","44.42","44.15","44.79","43.84","3.99M","0.25%"
"05/14/2015","44.31","44.21","44.40","43.53","3.54M","1.10%"
"05/13/2015","43.83","43.94","44.45","43.47","3.20M","-0.41%"
"05/12/2015","44.01","44.07","44.88","43.40","4.89M","-0.61%"
"05/11/2015","44.28","44.39","44.71","43.94","2.35M","-0.40%"
"05/08/2015","44.46","44.32","45.00","44.27","3.63M","-0.31%"
"05/07/2015","44.60","44.13","45.17","44.04","4.50M","0.95%"
"05/06/2015","44.18","44.64","45.14","43.75","3.83M","-0.96%"
"05/05/2015","44.61","44.71","45.04","44.33","4.08M","-0.91%"
"05/04/2015","45.02","44.67","45.23","44.21","5.47M","-1.62%"
"05/01/2015","45.76","44.07","46.50","44.04","16.28M","9.79%"
"04/30/2015","41.68","40.49","42.06","40.47","7.00M","2.36%"
"04/29/2015","40.72","39.96","40.84","39.42","5.63M","1.42%"
"04/28/2015","40.15","40.09","40.55","39.81","4.81M","-0.27%"
"04/27/2015","40.26","40.65","42.00","39.73","8.91M","-1.54%"
"04/24/2015","40.89","42.30","42.30","40.49","15.01M","-2.85%"
"04/23/2015","42.09","42.38","42.69","41.73","9.20M","-1.59%"
"04/22/2015","42.77","42.87","43.17","42.40","4.69M","-1.09%"
"04/21/2015","43.24","43.37","43.85","42.95","4.17M","0.19%"
"04/20/2015","43.16","44.08","44.14","42.78","6.43M","-1.95%"
"04/17/2015","44.02","42.95","44.20","42.81","6.82M","1.55%"
"04/16/2015","43.35","43.40","43.99","43.08","5.10M","-0.16%"
"04/15/2015","43.42","42.74","43.83","42.30","6.57M","2.04%"
"04/14/2015","42.55","44.43","44.51","42.40","10.24M","-2.99%"
"04/13/2015","43.86","44.12","45.36","43.30","8.83M","-1.48%"
"04/10/2015","44.52","43.21","45.38","42.85","16.55M","2.75%"
"04/09/2015","43.33","38.94","44.18","38.67","37.43M","3.17%"
"04/08/2015","42.00","41.35","42.06","41.07","4.40M","1.55%"
"04/07/2015","41.36","41.15","42.16","40.45","7.68M","0.36%"
"04/06/2015","41.21","42.61","42.61","40.70","9.11M","-4.39%"
"04/02/2015","43.10","42.51","43.47","42.45","7.02M","1.63%"
"04/01/2015","42.41","42.49","42.75","42.20","6.93M","-1.17%"
"03/31/2015","42.91","42.58","43.18","42.40","9.00M","0.21%"
"03/30/2015","42.82","43.82","44.00","40.75","35.50M","-3.54%"
"03/27/2015","44.39","34.73","45.00","34.48","14.19M","28.37%"
"03/26/2015","34.58","34.27","34.75","33.95","2.92M","-0.43%"
"03/25/2015","34.73","35.78","35.84","34.69","2.98M","-2.91%"
"03/24/2015","35.77","36.42","36.46","35.73","2.07M","-1.68%"
"03/23/2015","36.38","36.86","36.90","36.37","2.91M","-1.54%"
"03/20/2015","36.95","36.90","37.00","36.56","3.85M","0.96%"
"03/19/2015","36.60","36.06","36.69","36.00","3.13M","1.13%"
"03/18/2015","36.19","35.43","36.26","35.28","2.47M","1.89%"
"03/17/2015","35.52","35.55","35.60","35.22","1.11M","-0.56%"
"03/16/2015","35.72","35.33","35.74","35.21","1.16M","1.88%"
"03/13/2015","35.06","34.86","35.12","34.74","1.45M","0.34%"
"03/12/2015","34.94","34.86","35.08","34.64","2.48M","-0.20%"
"03/11/2015","35.01","35.19","35.42","34.99","1.17M","-0.28%"
"03/10/2015","35.11","35.48","35.61","35.11","1.87M","-2.06%"
"03/09/2015","35.85","35.78","35.98","35.67","1.23M","0.20%"
"03/06/2015","35.78","35.94","36.11","35.39","2.73M","-0.67%"
"03/05/2015","36.02","36.32","36.54","35.85","2.66M","-0.80%"
"03/04/2015","36.31","36.46","36.80","36.04","1.69M","-0.66%"
"03/03/2015","36.55","37.35","37.45","36.50","2.08M","-2.64%"
"03/02/2015","37.54","36.80","37.60","36.46","3.14M","1.43%"
"02/27/2015","37.01","36.72","37.14","36.72","2.35M","1.06%"
"02/26/2015","36.62","36.83","36.83","36.36","1.50M","-0.27%"
"02/25/2015","36.72","36.81","36.81","36.45","1.34M","-0.22%"
"02/24/2015","36.80","35.92","36.82","35.71","2.72M","2.48%"
"02/23/2015","35.91","36.08","36.15","35.69","1.04M","-0.64%"
"02/20/2015","36.14","35.76","36.16","35.57","1.98M","0.98%"
"02/19/2015","35.79","35.76","35.87","35.32","1.97M","-0.03%"
"02/18/2015","35.80","36.04","36.09","35.72","3.48M","-1.21%"
"02/17/2015","36.24","35.67","36.25","35.42","2.72M","1.63%"
"02/13/2015","35.66","35.30","35.73","35.19","2.69M","1.31%"
"02/12/2015","35.20","34.45","35.21","34.31","2.97M","2.62%"
"02/11/2015","34.30","34.37","34.44","34.13","1.65M","-0.12%"
"02/10/2015","34.34","33.98","34.37","33.77","2.00M","1.72%"
"02/09/2015","33.76","34.05","34.10","33.65","1.95M","-1.06%"
"02/06/2015","34.12","33.60","34.38","33.57","5.34M","0.71%"
"02/05/2015","33.88","33.83","33.97","33.57","1.73M","0.18%"
"02/04/2015","33.82","33.88","34.11","33.63","1.59M","-0.70%"
"02/03/2015","34.06","33.55","34.19","33.47","2.01M","1.79%"
"02/02/2015","33.46","33.00","33.61","32.67","3.37M","1.64%"
"01/30/2015","32.92","33.15","33.53","32.88","3.66M","-1.73%"
"01/29/2015","33.50","33.21","33.78","32.92","2.83M","0.93%"
"01/28/2015","33.19","33.97","34.18","33.18","4.87M","-1.22%"
"01/27/2015","33.60","33.70","34.22","33.58","6.37M","-1.18%"
"01/26/2015","34.00","34.26","34.30","33.91","6.09M","-0.76%"
"01/23/2015","34.26","34.15","34.78","33.90","8.92M","-2.64%"
"01/22/2015","35.19","33.78","35.37","33.78","7.65M","1.32%"
"01/21/2015","34.73","33.36","34.95","33.26","3.40M","-0.71%"
"01/20/2015","34.98","34.95","35.18","34.72","1.94M","0.40%"
"01/16/2015","34.84","33.90","34.92","33.86","4.03M","2.53%"
"01/15/2015","33.98","34.17","34.55","33.97","3.92M","-0.59%"
"01/14/2015","34.18","35.34","35.54","34.00","10.30M","-3.77%"
"01/13/2015","35.52","36.35","36.65","35.19","3.67M","-1.69%"
"01/12/2015","36.13","37.05","37.46","35.97","3.12M","-2.25%"
"01/09/2015","36.96","37.04","37.49","36.84","2.23M","-0.19%"
"01/08/2015","37.03","36.30","37.14","36.30","2.62M","2.38%"
"01/07/2015","36.17","36.26","36.57","35.98","3.17M","0.03%"
"01/06/2015","36.16","36.81","36.91","36.13","2.61M","-1.55%"
"01/05/2015","36.73","37.01","37.12","36.70","2.29M","-1.00%"
"01/02/2015","37.10","37.12","37.49","36.77","1.94M","0.43%"
"12/31/2014","36.94","37.57","37.72","36.94","1.59M","-1.15%"
"12/30/2014","37.37","37.53","37.70","37.32","1.28M","-0.88%"
"12/29/2014","37.70","38.08","38.17","37.68","1.63M","-1.49%"
"12/26/2014","38.27","38.18","38.37","37.98","1.19M","0.79%"
"12/24/2014","37.97","37.89","38.13","37.70","933.37K","0.61%"
"12/23/2014","37.74","38.48","38.65","37.67","2.75M","-0.71%"
"12/22/2014","38.01","37.31","38.01","37.30","2.33M","2.12%"
"12/19/2014","37.22","37.30","37.63","36.67","4.45M","-0.72%"
"12/18/2014","37.49","38.00","38.00","37.30","4.77M","0.21%"
