"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2019","59.42","58.72","59.47","58.65","3.44M","0.92%"
"12/30/2019","58.88","59.35","59.55","58.62","3.03M","-0.52%"
"12/27/2019","59.19","59.21","59.59","58.78","3.39M","0.51%"
"12/26/2019","58.89","58.81","59.27","58.71","2.33M","0.14%"
"12/24/2019","58.81","58.78","59.03","58.52","1.56M","-0.14%"
"12/23/2019","58.89","59.60","59.74","58.83","4.40M","-0.56%"
"12/20/2019","59.22","59.40","59.71","58.79","8.97M","0.15%"
"12/19/2019","59.13","58.71","59.23","58.52","4.38M","0.19%"
"12/18/2019","59.02","58.34","59.12","57.96","6.68M","1.30%"
"12/17/2019","58.26","58.70","58.74","58.10","4.39M","-0.60%"
"12/16/2019","58.61","59.23","59.34","58.57","4.58M","-0.07%"
"12/13/2019","58.65","58.50","58.74","57.79","5.76M","0.15%"
"12/12/2019","58.56","56.60","58.81","56.48","9.02M","3.68%"
"12/11/2019","56.48","55.94","56.98","55.94","5.58M","0.97%"
"12/10/2019","55.94","54.46","55.99","54.10","4.69M","2.85%"
"12/09/2019","54.39","55.12","55.40","54.37","4.56M","-1.49%"
"12/06/2019","55.21","55.12","55.42","54.80","5.05M","0.40%"
"12/05/2019","54.99","54.09","55.04","53.74","5.27M","2.06%"
"12/04/2019","53.88","54.75","54.87","53.76","4.75M","-1.30%"
"12/03/2019","54.59","53.61","54.61","53.52","5.40M","0.66%"
"12/02/2019","54.23","54.93","54.98","53.36","4.64M","-1.09%"
"11/29/2019","54.83","54.13","55.18","54.01","2.39M","0.64%"
"11/27/2019","54.48","54.33","54.56","53.90","3.64M","0.57%"
"11/26/2019","54.17","53.93","54.23","53.56","4.23M","0.82%"
"11/25/2019","53.73","53.23","53.76","53.02","4.13M","1.30%"
"11/22/2019","53.04","53.77","53.90","52.59","4.58M","-1.21%"
"11/21/2019","53.69","53.95","54.29","53.31","3.96M","-0.74%"
"11/20/2019","54.09","53.24","54.19","53.15","7.42M","1.52%"
"11/19/2019","53.28","53.10","53.38","52.48","5.09M","1.04%"
"11/18/2019","52.73","53.43","53.45","52.27","6.44M","-1.33%"
"11/15/2019","53.44","53.15","53.71","52.70","5.33M","1.40%"
"11/14/2019","52.70","52.32","52.98","52.10","7.19M","0.71%"
"11/13/2019","52.33","51.60","52.63","51.46","11.59M","0.73%"
"11/12/2019","51.95","52.70","53.05","51.69","12.57M","-1.09%"
"11/11/2019","52.52","53.85","53.93","52.24","6.83M","-3.28%"
"11/08/2019","54.30","53.50","54.84","52.65","15.90M","-0.46%"
"11/07/2019","54.55","56.75","56.82","54.35","12.51M","-3.21%"
"11/06/2019","56.36","55.78","56.59","55.47","6.24M","1.48%"
"11/05/2019","55.54","55.80","56.27","55.01","5.04M","-0.31%"
