"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2019","17.30","17.31","17.48","17.21","3.22M","-0.12%"
"12/30/2019","17.32","17.05","17.67","17.02","3.84M","1.41%"
"12/27/2019","17.08","17.36","17.47","17.03","3.68M","-0.99%"
"12/26/2019","17.25","17.28","17.43","16.98","3.99M","-0.17%"
"12/24/2019","17.28","17.25","17.68","16.75","5.70M","3.47%"
"12/23/2019","16.70","16.69","16.82","16.35","4.33M","0.00%"
"12/20/2019","16.70","17.19","17.38","16.68","7.59M","-2.91%"
"12/19/2019","17.20","17.66","17.77","17.14","5.16M","-2.93%"
"12/18/2019","17.72","17.15","17.79","16.93","10.56M","4.98%"
"12/17/2019","16.88","15.26","17.15","15.17","14.43M","11.20%"
"12/16/2019","15.18","15.47","15.66","15.11","5.45M","-0.98%"
"12/13/2019","15.33","15.74","15.83","15.07","6.42M","-3.10%"
"12/12/2019","15.82","15.39","15.92","15.26","4.79M","1.74%"
"12/11/2019","15.55","15.48","15.59","15.17","9.20M","0.19%"
"12/10/2019","15.52","15.49","15.62","15.12","5.57M","0.71%"
"12/09/2019","15.41","14.77","15.71","14.70","8.16M","4.33%"
"12/06/2019","14.77","14.75","15.13","14.68","4.79M","2.29%"
"12/05/2019","14.44","14.88","15.22","14.41","4.03M","-2.50%"
"12/04/2019","14.81","14.14","14.88","14.10","4.11M","5.79%"
"12/03/2019","14.00","14.14","14.28","13.86","4.18M","-3.65%"
"12/02/2019","14.53","14.66","14.95","14.45","5.69M","-0.34%"
"11/29/2019","14.58","14.56","14.87","14.43","2.55M","-0.55%"
"11/27/2019","14.66","14.55","14.69","14.34","5.02M","1.24%"
"11/26/2019","14.48","13.66","14.52","13.66","9.08M","6.71%"
"11/25/2019","13.57","12.62","13.61","12.60","7.51M","8.30%"
"11/22/2019","12.53","12.63","12.65","12.36","4.24M","0.24%"
"11/21/2019","12.50","12.86","12.90","12.46","4.30M","-2.34%"
"11/20/2019","12.80","12.90","13.04","12.56","4.33M","-1.46%"
"11/19/2019","12.99","13.83","13.84","12.88","6.54M","-6.95%"
"11/18/2019","13.96","14.12","14.23","13.86","4.90M","-1.69%"
"11/15/2019","14.20","13.94","14.25","13.69","5.38M","2.82%"
"11/14/2019","13.81","13.44","14.03","13.32","7.72M","2.60%"
"11/13/2019","13.46","13.30","13.66","13.16","4.23M","-0.30%"
"11/12/2019","13.50","13.76","13.82","13.44","4.50M","-1.82%"
"11/11/2019","13.75","13.73","13.80","13.40","4.08M","-0.72%"
"11/08/2019","13.85","13.94","14.03","13.68","3.34M","-1.07%"
"11/07/2019","14.00","14.55","14.63","13.81","4.66M","-2.64%"
"11/06/2019","14.38","14.40","14.41","14.10","4.47M","-0.55%"
"11/05/2019","14.46","14.03","14.64","14.00","7.20M","3.80%"
"11/04/2019","13.93","13.66","13.97","13.32","5.39M","4.11%"
"11/01/2019","13.38","13.86","14.16","13.37","7.40M","-2.34%"
"10/31/2019","13.70","14.11","14.19","13.41","11.50M","-3.52%"
"10/30/2019","14.20","14.72","14.85","14.13","5.85M","-4.05%"
"10/29/2019","14.80","14.72","14.94","14.45","6.10M","0.14%"
"10/28/2019","14.78","14.46","14.99","14.45","8.60M","3.57%"
"10/25/2019","14.27","14.19","14.64","14.11","9.56M","-0.35%"
"10/24/2019","14.32","14.08","14.34","13.72","8.55M","1.78%"
"10/23/2019","14.07","13.70","14.15","13.44","8.25M","2.25%"
"10/22/2019","13.76","13.06","13.78","12.81","7.95M","5.36%"
"10/21/2019","13.06","12.56","13.11","12.56","6.56M","4.23%"
"10/18/2019","12.53","12.50","12.65","12.27","4.36M","-0.40%"
"10/17/2019","12.58","12.26","12.61","12.18","5.72M","1.70%"
"10/16/2019","12.37","11.89","12.53","11.75","7.86M","3.26%"
"10/15/2019","11.98","12.73","12.73","11.94","12.14M","-2.52%"
"10/14/2019","12.29","12.83","12.83","12.17","12.97M","-5.24%"
"10/11/2019","12.97","12.62","13.14","12.28","24.03M","7.28%"
"10/10/2019","12.09","11.98","12.74","11.71","52.53M","21.63%"
"10/09/2019","9.94","10.01","10.05","9.84","6.80M","-0.10%"
"10/08/2019","9.95","10.02","10.10","9.74","4.91M","-2.64%"
"10/07/2019","10.22","10.00","10.31","9.86","4.99M","1.29%"
"10/04/2019","10.09","10.29","10.29","9.93","6.24M","-1.94%"
"10/03/2019","10.29","9.73","10.67","9.62","22.53M","2.69%"
"10/02/2019","10.02","10.28","10.32","9.85","14.34M","-2.91%"
"10/01/2019","10.32","10.76","10.98","10.23","7.72M","-3.01%"
"09/30/2019","10.64","10.60","10.78","10.25","12.73M","7.58%"
"09/27/2019","9.89","9.83","9.98","9.72","2.63M","0.92%"
"09/26/2019","9.80","9.69","9.83","9.52","2.65M","1.45%"
"09/25/2019","9.66","9.62","9.89","9.56","3.52M","0.10%"
"09/24/2019","9.65","9.91","9.91","9.51","3.36M","-2.23%"
"09/23/2019","9.87","9.76","9.98","9.61","4.22M","0.51%"
"09/20/2019","9.82","10.06","10.23","9.66","8.19M","-1.70%"
"09/19/2019","9.99","9.67","10.08","9.61","5.23M","2.99%"
"09/18/2019","9.70","10.18","10.26","9.50","7.80M","-4.72%"
"09/17/2019","10.18","10.19","10.22","9.91","6.67M","-1.07%"
"09/16/2019","10.29","10.48","10.63","10.26","5.19M","-2.19%"
"09/13/2019","10.52","10.71","10.98","10.48","4.77M","-1.13%"
"09/12/2019","10.64","10.67","10.89","10.42","5.33M","-2.56%"
"09/11/2019","10.92","10.81","11.04","10.29","7.77M","1.96%"
"09/10/2019","10.71","10.43","10.80","10.22","7.40M","2.19%"
"09/09/2019","10.48","10.43","10.59","10.29","4.34M","1.26%"
"09/06/2019","10.35","10.15","10.44","10.09","6.28M","2.17%"
"09/05/2019","10.13","9.65","10.36","9.63","9.48M","7.08%"
"09/04/2019","9.46","9.42","9.50","9.14","5.82M","1.39%"
"09/03/2019","9.33","9.60","9.67","8.70","10.81M","-3.52%"
"08/30/2019","9.67","9.64","9.73","9.35","7.77M","2.00%"
"08/29/2019","9.48","8.63","9.74","8.63","17.66M","11.01%"
"08/28/2019","8.54","8.05","8.68","8.05","6.47M","5.43%"
"08/27/2019","8.10","8.41","8.42","8.05","3.92M","-2.88%"
"08/26/2019","8.34","8.49","8.59","8.11","4.91M","-0.12%"
"08/23/2019","8.35","8.68","8.77","8.33","5.52M","-4.46%"
"08/22/2019","8.74","8.08","8.86","8.07","11.32M","9.66%"
"08/21/2019","7.97","7.88","8.21","7.86","4.86M","2.97%"
"08/20/2019","7.74","7.62","7.83","7.61","4.46M","0.39%"
"08/19/2019","7.71","7.55","7.88","7.32","5.98M","3.07%"
"08/16/2019","7.48","7.45","7.61","7.37","6.12M","1.08%"
"08/15/2019","7.40","7.86","7.90","7.31","8.10M","-6.09%"
"08/14/2019","7.88","7.96","7.99","7.63","8.41M","-3.31%"
"08/13/2019","8.15","8.36","8.91","8.12","6.60M","-3.09%"
"08/12/2019","8.41","8.44","8.66","8.27","4.49M","-0.59%"
"08/09/2019","8.46","9.18","9.19","8.41","5.55M","-6.00%"
"08/08/2019","9.00","8.79","9.02","8.64","4.99M","2.97%"
"08/07/2019","8.74","8.70","8.81","8.55","4.80M","-1.13%"
"08/06/2019","8.84","9.04","9.09","8.61","5.09M","-1.45%"
"08/05/2019","8.97","9.00","9.03","8.43","7.02M","-2.50%"
"08/02/2019","9.20","9.01","9.34","8.90","7.21M","2.22%"
