"Date","Price","Open","High","Low","Vol.","Change %"
"11/02/2018","44.44","44.44","44.47","44.41","23.22M","0.07%"
"11/01/2018","44.41","44.31","44.44","44.30","7.26M","0.11%"
"10/31/2018","44.36","44.28","44.40","44.15","5.56M","0.20%"
"10/30/2018","44.27","44.21","44.38","44.18","6.28M","0.23%"
"10/29/2018","44.17","44.14","44.30","44.02","4.78M","0.48%"
"10/26/2018","43.96","43.79","44.05","43.72","5.03M","0.14%"
"10/25/2018","43.90","43.80","43.98","43.70","3.18M","0.66%"
"10/24/2018","43.61","43.90","43.94","43.59","8.20M","-0.62%"
"10/23/2018","43.88","43.85","44.04","43.82","4.75M","-0.09%"
"10/22/2018","43.92","43.88","44.01","43.87","2.27M","-0.09%"
"10/19/2018","43.96","44.00","44.08","43.89","3.83M","0.14%"
"10/18/2018","43.90","43.98","44.01","43.85","4.02M","-0.18%"
"10/17/2018","43.98","43.80","44.00","43.74","4.94M","0.39%"
"10/16/2018","43.81","43.90","43.98","43.73","3.98M","-0.05%"
"10/15/2018","43.83","44.00","44.00","43.77","7.34M","0.30%"
"10/12/2018","43.70","43.46","43.93","43.33","10.57M","0.53%"
"10/11/2018","43.47","42.85","43.62","42.82","11.83M","1.49%"
"10/10/2018","42.83","43.98","44.02","41.04","22.43M","-2.66%"
"10/09/2018","44.00","44.02","44.09","44.00","2.24M","0.07%"
"10/08/2018","43.97","44.06","44.10","43.94","2.84M","-0.20%"
"10/05/2018","44.06","44.06","44.10","44.04","1.84M","0.00%"
"10/04/2018","44.06","44.07","44.13","44.00","3.25M","-0.02%"
"10/03/2018","44.07","44.10","44.15","44.07","3.65M","0.02%"
"10/02/2018","44.06","44.11","44.15","44.05","2.19M","-0.09%"
"10/01/2018","44.10","44.16","44.18","44.08","1.61M","-0.11%"
"09/28/2018","44.15","44.04","44.15","44.01","3.80M","0.32%"
"09/27/2018","44.01","44.08","44.11","44.01","2.12M","-0.11%"
"09/26/2018","44.06","44.09","44.11","44.06","1.97M","0.00%"
"09/25/2018","44.06","44.05","44.10","44.03","1.51M","-0.02%"
"09/24/2018","44.07","44.00","44.12","44.00","2.23M","-0.05%"
"09/21/2018","44.09","44.09","44.12","44.00","4.32M","0.16%"
"09/20/2018","44.02","44.10","44.19","43.98","3.96M","-0.18%"
"09/19/2018","44.10","44.04","44.13","44.04","2.37M","0.20%"
"09/18/2018","44.01","44.01","44.12","44.01","2.38M","-0.05%"
"09/17/2018","44.03","44.03","44.08","44.02","2.14M","-0.05%"
"09/14/2018","44.05","44.00","44.06","43.95","2.38M","0.23%"
"09/13/2018","43.95","44.17","44.17","43.92","6.33M","0.07%"
"09/12/2018","43.92","43.95","44.05","43.90","3.60M","-0.11%"
"09/11/2018","43.97","43.91","43.97","43.91","1.58M","0.14%"
"09/10/2018","43.91","43.94","43.98","43.88","2.27M","0.07%"
"09/07/2018","43.88","43.80","43.97","43.80","2.67M","0.07%"
"09/06/2018","43.85","43.82","43.91","43.75","2.88M","-0.07%"
"09/05/2018","43.88","43.80","43.95","43.80","2.01M","0.16%"
"09/04/2018","43.81","43.74","43.86","43.74","2.96M","0.02%"
"08/31/2018","43.80","43.85","43.90","43.70","3.36M","-0.05%"
"08/30/2018","43.82","43.82","43.89","43.72","2.82M","0.00%"
"08/29/2018","43.82","43.80","43.98","43.76","4.03M","-0.07%"
"08/28/2018","43.85","43.90","43.93","43.76","3.64M","-0.11%"
"08/27/2018","43.90","44.05","44.05","43.85","2.98M","-0.09%"
"08/24/2018","43.94","43.92","44.08","43.85","8.40M","0.43%"
"08/23/2018","43.75","43.59","43.77","43.55","2.82M","0.25%"
"08/22/2018","43.64","43.50","43.65","43.48","2.55M","-0.14%"
"08/21/2018","43.70","43.71","43.88","43.69","3.15M","-0.05%"
"08/20/2018","43.72","43.63","43.76","43.58","3.82M","0.21%"
"08/17/2018","43.63","43.55","43.70","43.54","2.74M","0.05%"
"08/16/2018","43.61","43.49","43.75","43.46","5.85M","0.05%"
"08/15/2018","43.59","43.51","43.67","43.50","3.68M","-0.09%"
"08/14/2018","43.63","43.46","43.77","43.44","4.84M","0.39%"
"08/13/2018","43.46","43.41","43.68","43.36","5.89M","0.18%"
"08/10/2018","43.38","43.32","43.52","43.22","5.03M","0.05%"
"08/09/2018","43.36","43.70","43.71","43.33","5.82M","-0.80%"
"08/08/2018","43.71","43.82","43.85","43.70","4.24M","-0.21%"
"08/07/2018","43.80","43.89","43.91","43.64","6.92M","-0.21%"
"08/06/2018","43.89","44.06","44.08","43.87","8.07M","-0.43%"
"08/03/2018","44.08","44.04","44.08","44.02","3.98M","0.11%"
"08/02/2018","44.03","44.03","44.09","44.01","3.06M","-0.11%"
"08/01/2018","44.08","44.15","44.19","43.99","6.40M","-0.29%"
"07/31/2018","44.21","44.01","44.25","44.01","6.29M","0.39%"
"07/30/2018","44.04","43.98","44.12","43.95","5.72M","0.16%"
"07/27/2018","43.97","43.96","44.00","43.91","4.05M","0.16%"
"07/26/2018","43.90","44.06","44.19","43.90","7.55M","-0.34%"
"07/25/2018","44.05","43.99","44.08","43.95","7.93M","0.16%"
"07/24/2018","43.98","43.97","44.00","43.91","6.39M","0.05%"
"07/23/2018","43.96","43.97","43.99","43.90","6.51M","-0.05%"
"07/20/2018","43.98","43.99","44.00","43.95","8.79M","-0.02%"
"07/19/2018","43.99","44.03","44.06","43.95","8.42M","-0.07%"
"07/18/2018","44.02","44.09","44.12","43.99","10.74M","-0.16%"
"07/17/2018","44.09","44.05","44.12","44.02","7.95M","0.09%"
"07/16/2018","44.05","44.06","44.09","44.00","8.85M","-0.02%"
"07/13/2018","44.06","44.11","44.19","43.99","21.31M","-0.20%"
"07/12/2018","44.15","43.90","44.20","43.83","76.60M","18.65%"
"07/11/2018","37.21","36.88","37.25","36.85","2.87M","0.16%"
"07/10/2018","37.15","37.16","37.20","36.94","2.01M","0.35%"
"07/09/2018","37.02","36.79","37.02","36.74","1.44M","0.79%"
"07/06/2018","36.73","36.50","36.90","36.37","1.44M","0.71%"
"07/05/2018","36.47","36.09","36.47","35.98","1.85M","1.56%"
"07/03/2018","35.91","36.25","36.35","35.88","1.76M","-0.66%"
"07/02/2018","36.15","35.55","36.16","35.48","2.08M","1.40%"
"06/29/2018","35.65","35.47","35.82","35.47","2.67M","0.37%"
"06/28/2018","35.52","35.27","35.55","35.01","2.20M","0.59%"
"06/27/2018","35.31","36.22","36.28","35.31","2.23M","-2.38%"
"06/26/2018","36.17","36.00","36.29","35.95","2.99M","0.89%"
"06/25/2018","35.85","36.04","36.16","35.49","3.21M","-0.83%"
"06/22/2018","36.15","36.23","36.25","35.92","2.14M","0.06%"
"06/21/2018","36.13","36.37","36.54","35.95","2.38M","-0.71%"
"06/20/2018","36.39","36.93","36.97","36.35","2.95M","-1.46%"
"06/19/2018","36.93","36.77","36.99","36.68","2.56M","-0.46%"
"06/18/2018","37.10","36.99","37.24","36.80","1.65M","-0.46%"
"06/15/2018","37.27","37.06","37.35","36.77","4.27M","0.57%"
"06/14/2018","37.06","37.21","37.30","36.50","2.47M","0.00%"
"06/13/2018","37.06","36.88","37.26","36.83","2.75M","0.54%"
"06/12/2018","36.86","36.51","36.89","36.39","2.89M","1.26%"
"06/11/2018","36.40","36.28","36.58","36.19","2.62M","0.33%"
"06/08/2018","36.28","36.20","36.38","36.03","2.39M","-0.14%"
"06/07/2018","36.33","36.47","36.53","36.15","2.07M","-0.36%"
"06/06/2018","36.46","36.14","36.48","36.01","1.45M","0.91%"
"06/05/2018","36.13","36.14","36.33","35.98","2.70M","0.08%"
"06/04/2018","36.10","36.22","36.29","36.01","2.33M","0.25%"
"06/01/2018","36.01","35.90","36.15","35.76","2.18M","0.76%"
"05/31/2018","35.74","35.54","35.78","35.26","3.84M","0.51%"
"05/30/2018","35.56","35.36","35.73","35.28","2.67M","0.79%"
"05/29/2018","35.28","35.39","35.50","35.04","2.22M","-0.79%"
"05/25/2018","35.56","35.57","35.80","35.41","1.82M","-0.03%"
"05/24/2018","35.57","35.08","35.89","35.08","2.42M","0.37%"
"05/23/2018","35.44","35.01","35.46","35.01","2.62M","0.45%"
"05/22/2018","35.28","35.60","35.65","35.19","1.43M","-0.62%"
"05/21/2018","35.50","35.52","35.71","35.36","1.95M","0.94%"
"05/18/2018","35.17","35.14","35.35","35.00","1.82M","0.29%"
"05/17/2018","35.07","35.00","35.34","34.82","2.44M","-0.17%"
"05/16/2018","35.13","34.93","35.27","33.60","2.02M","-0.43%"
"05/15/2018","35.28","34.92","35.33","34.72","2.73M","0.54%"
"05/14/2018","35.09","35.37","35.48","34.92","3.62M","-0.65%"
"05/11/2018","35.32","35.04","35.45","34.78","2.91M","0.63%"
"05/10/2018","35.10","34.54","35.25","34.54","3.21M","2.03%"
"05/09/2018","34.40","35.77","35.77","33.77","4.05M","-0.46%"
"05/08/2018","34.56","34.60","34.64","34.28","3.16M","0.00%"
"05/07/2018","34.56","34.73","34.91","34.46","2.46M","-0.43%"
"05/04/2018","34.71","33.84","34.80","33.84","1.63M","1.91%"
"05/03/2018","34.06","33.87","34.25","33.51","2.17M","0.29%"
"05/02/2018","33.96","34.79","34.79","33.94","2.61M","-2.89%"
"05/01/2018","34.97","34.68","34.99","34.54","1.37M","0.49%"
"04/30/2018","34.80","34.93","35.03","34.65","1.62M","-0.23%"
"04/27/2018","34.88","34.77","35.09","34.62","1.10M","0.29%"
"04/26/2018","34.78","34.72","34.92","34.27","1.80M","0.81%"
"04/25/2018","34.50","34.59","34.73","34.16","1.77M","-0.58%"
"04/24/2018","34.70","34.97","35.20","34.56","2.56M","-0.14%"
"04/23/2018","34.75","34.59","34.86","34.55","1.94M","0.49%"
"04/20/2018","34.58","34.89","34.91","34.34","1.58M","-0.75%"
"04/19/2018","34.84","34.88","35.03","34.26","1.36M","-0.54%"
"04/18/2018","35.03","35.18","35.20","34.91","1.90M","-0.09%"
"04/17/2018","35.06","35.23","35.23","34.91","2.37M","0.17%"
"04/16/2018","35.00","34.81","35.17","34.70","2.08M","1.42%"
"04/13/2018","34.51","34.70","34.70","34.13","1.52M","-0.09%"
"04/12/2018","34.54","34.71","34.91","33.33","2.71M","0.14%"
"04/11/2018","34.49","34.22","34.79","34.04","2.60M","-0.12%"
"04/10/2018","34.53","33.79","34.62","33.78","4.94M","3.72%"
"04/09/2018","33.29","33.40","33.83","33.27","1.55M","0.33%"
"04/06/2018","33.18","33.63","33.82","32.95","2.19M","-2.15%"
"04/05/2018","33.91","34.07","34.11","33.65","1.77M","0.21%"
"04/04/2018","33.84","32.73","33.96","32.60","3.37M","2.20%"
"04/03/2018","33.11","32.90","33.25","32.61","3.03M","1.25%"
"04/02/2018","32.70","33.72","33.85","32.45","3.28M","-3.54%"
"03/29/2018","33.90","33.68","34.17","33.39","2.49M","1.25%"
"03/28/2018","33.48","33.52","33.75","33.28","2.71M","0.15%"
"03/27/2018","33.43","34.55","34.58","33.24","2.25M","-2.11%"
"03/26/2018","34.15","33.71","34.20","33.56","2.63M","2.74%"
"03/23/2018","33.24","34.32","34.45","33.23","2.60M","-3.12%"
"03/22/2018","34.31","33.11","35.08","33.11","2.57M","-2.83%"
"03/21/2018","35.31","35.42","35.68","35.20","2.32M","-0.25%"
"03/20/2018","35.40","35.41","35.81","35.26","2.55M","0.06%"
"03/19/2018","35.38","35.64","35.79","35.09","2.02M","-1.15%"
"03/16/2018","35.79","35.73","36.16","35.61","4.55M","0.28%"
"03/15/2018","35.69","35.87","35.92","35.58","2.16M","-0.42%"
"03/14/2018","35.84","36.50","36.57","35.75","2.41M","-1.19%"
"03/13/2018","36.27","36.95","37.03","36.15","2.88M","-1.47%"
"03/12/2018","36.81","37.16","37.25","36.48","2.89M","-0.84%"
"03/09/2018","37.12","36.47","37.13","36.31","3.46M","2.65%"
"03/08/2018","36.16","36.05","36.22","35.77","2.45M","0.56%"
"03/07/2018","35.96","35.59","36.05","35.58","1.90M","0.67%"
"03/06/2018","35.72","35.64","35.73","35.35","1.62M","0.51%"
"03/05/2018","35.54","35.11","35.67","35.05","2.28M","0.62%"
"03/02/2018","35.32","35.20","35.39","34.98","2.66M","0.34%"
"03/01/2018","35.20","35.21","35.56","34.90","4.30M","0.28%"
"02/28/2018","35.10","35.42","35.71","35.10","3.43M","-0.43%"
"02/27/2018","35.25","35.46","35.81","35.25","2.87M","-0.31%"
"02/26/2018","35.36","35.50","35.67","35.24","3.04M","-0.20%"
"02/23/2018","35.43","35.06","35.47","34.95","3.41M","1.66%"
"02/22/2018","34.85","34.81","35.26","34.77","3.06M","0.46%"
"02/21/2018","34.69","34.90","35.22","34.67","3.38M","-1.06%"
"02/20/2018","35.06","35.14","35.40","34.94","2.21M","-0.79%"
"02/16/2018","35.34","35.29","35.74","35.23","1.78M","0.28%"
"02/15/2018","35.24","34.93","35.36","34.65","2.15M","1.41%"
"02/14/2018","34.75","33.95","34.79","33.76","3.01M","1.67%"
"02/13/2018","34.18","33.91","34.20","33.83","2.34M","0.47%"
"02/12/2018","34.02","33.63","34.13","33.63","2.87M","1.70%"
"02/09/2018","33.45","33.01","33.74","32.47","4.42M","2.42%"
"02/08/2018","32.66","33.93","33.93","32.64","4.39M","-3.94%"
"02/07/2018","34.00","33.55","34.40","33.45","4.14M","0.89%"
"02/06/2018","33.70","33.08","33.83","32.64","4.12M","0.42%"
"02/05/2018","33.56","34.94","35.05","33.55","4.57M","-4.03%"
"02/02/2018","34.97","34.53","35.40","34.53","3.04M","-1.16%"
"02/01/2018","35.38","35.74","35.89","35.23","3.49M","-1.31%"
"01/31/2018","35.85","35.75","36.56","35.18","4.53M","0.84%"
"01/30/2018","35.55","35.49","35.92","35.22","3.48M","-0.25%"
"01/29/2018","35.64","35.79","35.93","35.56","2.11M","-0.72%"
"01/26/2018","35.90","35.31","35.92","35.14","2.27M","2.19%"
"01/25/2018","35.13","35.06","35.46","34.93","3.26M","0.66%"
"01/24/2018","34.90","34.95","35.26","34.73","2.50M","0.43%"
"01/23/2018","34.75","34.63","35.10","34.55","2.36M","0.09%"
"01/22/2018","34.72","34.08","34.73","33.98","2.51M","1.91%"
"01/19/2018","34.07","34.19","34.43","33.91","2.97M","-0.35%"
"01/18/2018","34.19","34.44","34.61","33.92","2.30M","-0.81%"
"01/17/2018","34.47","34.28","34.52","34.15","1.29M","1.32%"
"01/16/2018","34.02","34.26","34.55","34.00","2.11M","-0.21%"
"01/12/2018","34.09","33.86","34.21","33.77","1.45M","0.80%"
"01/11/2018","33.82","33.63","33.82","33.35","1.52M","1.02%"
"01/10/2018","33.48","33.71","33.88","33.45","2.56M","-0.83%"
"01/09/2018","33.76","33.86","33.92","33.58","1.74M","-0.32%"
"01/08/2018","33.87","33.89","33.99","33.54","1.89M","-0.47%"
"01/05/2018","34.03","33.97","34.08","33.80","1.72M","0.74%"
"01/04/2018","33.78","33.78","33.97","33.69","2.21M","0.21%"
"01/03/2018","33.71","33.58","33.91","33.40","2.47M","0.39%"
"01/02/2018","33.58","33.46","33.64","33.10","2.11M","0.90%"
"12/29/2017","33.28","33.44","33.56","33.25","1.54M","-0.66%"
"12/28/2017","33.50","33.59","33.59","33.37","885.99K","0.00%"
"12/27/2017","33.50","33.73","33.74","33.42","1.09M","-0.45%"
"12/26/2017","33.65","33.44","33.73","33.44","821.28K","0.39%"
"12/22/2017","33.52","33.46","33.66","33.41","1.92M","0.03%"
"12/21/2017","33.51","33.66","33.73","33.42","1.16M","-0.12%"
"12/20/2017","33.55","33.78","33.90","33.49","1.67M","-0.30%"
"12/19/2017","33.65","33.80","33.98","33.64","1.65M","-0.27%"
"12/18/2017","33.74","33.94","34.08","33.65","1.78M","0.09%"
"12/15/2017","33.71","33.29","33.81","33.01","3.27M","1.57%"
"12/14/2017","33.19","33.43","33.55","33.12","1.46M","-0.51%"
"12/13/2017","33.36","33.56","33.65","33.28","1.54M","-0.39%"
"12/12/2017","33.49","33.28","33.67","33.26","1.46M","0.48%"
"12/11/2017","33.33","33.43","33.58","33.21","1.82M","-0.45%"
"12/08/2017","33.48","33.33","33.52","33.23","1.32M","0.93%"
"12/07/2017","33.17","33.25","33.29","32.97","1.77M","-0.39%"
"12/06/2017","33.30","33.28","33.47","33.18","1.71M","0.24%"
"12/05/2017","33.22","33.38","33.56","33.22","1.86M","-0.18%"
"12/04/2017","33.28","33.42","33.65","33.14","2.88M","0.27%"
"12/01/2017","33.19","32.92","33.24","32.51","1.61M","0.36%"
"11/30/2017","33.07","32.71","33.21","32.60","2.55M","1.50%"
"11/29/2017","32.58","32.49","32.94","32.49","2.32M","-0.34%"
"11/28/2017","32.69","32.67","32.81","32.40","1.68M","0.18%"
"11/27/2017","32.63","32.69","33.00","32.58","1.43M","0.00%"
"11/24/2017","32.63","32.44","32.71","32.43","673.05K","0.55%"
"11/22/2017","32.45","32.58","32.72","32.43","1.15M","-0.40%"
"11/21/2017","32.58","32.77","32.79","32.33","2.14M","0.15%"
"11/20/2017","32.53","32.47","32.63","32.27","1.39M","0.06%"
"11/17/2017","32.51","32.57","32.62","32.26","2.00M","-0.21%"
"11/16/2017","32.58","32.10","32.60","32.10","2.14M","1.43%"
"11/15/2017","32.12","32.26","32.39","31.97","2.11M","-0.59%"
"11/14/2017","32.31","32.21","32.48","32.16","2.15M","-0.03%"
"11/13/2017","32.32","32.29","32.41","32.24","1.44M","-0.40%"
"11/10/2017","32.45","32.15","32.45","32.07","1.68M","0.59%"
"11/09/2017","32.26","32.36","32.47","32.00","1.85M","-1.10%"
"11/08/2017","32.62","32.33","32.68","32.25","1.43M","0.99%"
"11/07/2017","32.30","32.47","32.60","32.25","1.73M","-0.46%"
"11/06/2017","32.45","32.58","32.73","32.44","1.20M","-0.61%"
"11/03/2017","32.65","32.41","32.76","32.24","2.35M","0.74%"
"11/02/2017","32.41","32.83","32.93","32.41","2.06M","-1.58%"
"11/01/2017","32.93","32.56","32.99","32.35","2.36M","1.70%"
"10/31/2017","32.38","32.41","32.49","32.23","2.61M","0.19%"
"10/30/2017","32.32","32.74","32.89","32.32","2.55M","-1.67%"
"10/27/2017","32.87","32.64","33.11","32.54","4.02M","0.74%"
"10/26/2017","32.63","33.00","33.28","31.45","5.18M","-4.39%"
"10/25/2017","34.13","34.18","34.33","33.86","1.79M","-0.47%"
"10/24/2017","34.29","34.27","34.35","33.83","2.24M","0.00%"
"10/23/2017","34.29","34.18","34.41","34.05","1.65M","0.56%"
"10/20/2017","34.10","33.94","34.15","33.84","1.26M","0.50%"
"10/19/2017","33.93","33.68","33.99","33.60","1.23M","0.59%"
"10/18/2017","33.73","33.57","33.84","33.41","1.95M","0.42%"
"10/17/2017","33.59","33.69","33.74","33.54","1.59M","-0.36%"
"10/16/2017","33.71","33.87","33.88","33.41","1.88M","-0.50%"
"10/13/2017","33.88","34.05","34.16","33.83","1.14M","-0.12%"
"10/12/2017","33.92","33.68","33.99","33.64","1.30M","0.86%"
"10/11/2017","33.63","33.52","33.67","33.38","1.22M","-0.03%"
"10/10/2017","33.64","33.58","33.75","33.46","1.49M","0.21%"
"10/09/2017","33.57","33.86","33.90","33.45","1.56M","-0.86%"
"10/06/2017","33.86","33.89","33.97","33.65","936.19K","-0.24%"
"10/05/2017","33.94","33.78","33.98","33.65","1.04M","0.83%"
"10/04/2017","33.66","33.56","33.70","33.33","857.50K","0.27%"
"10/03/2017","33.57","33.66","33.68","33.42","1.33M","-0.30%"
"10/02/2017","33.67","33.36","33.73","33.25","1.15M","0.87%"
