"Date","Price","Open","High","Low","Vol.","Change %"
"07/23/2015","61.47","61.44","61.50","61.42","9.14M","0.07%"
"07/22/2015","61.43","61.45","61.46","61.42","2.56M","0.03%"
"07/21/2015","61.41","61.44","61.46","61.26","3.93M","-0.05%"
"07/20/2015","61.44","61.46","61.48","61.44","1.11M","0.00%"
"07/17/2015","61.44","61.47","61.47","61.42","1.72M","-0.05%"
"07/16/2015","61.47","61.42","61.48","61.38","2.34M","0.15%"
"07/15/2015","61.38","61.38","61.43","61.34","2.61M","-0.02%"
"07/14/2015","61.39","61.34","61.41","61.31","1.10M","0.08%"
"07/13/2015","61.34","61.28","61.38","61.24","3.27M","0.10%"
"07/10/2015","61.28","61.31","61.32","61.21","1.97M","0.13%"
"07/09/2015","61.20","61.34","61.34","61.15","5.79M","-0.10%"
"07/08/2015","61.26","61.20","61.36","61.18","3.14M","-0.02%"
"07/07/2015","61.27","61.12","61.43","61.12","3.68M","0.23%"
"07/06/2015","61.13","61.10","61.16","61.10","4.50M","-0.03%"
"07/02/2015","61.15","61.13","61.17","61.09","1.78M","0.00%"
"07/01/2015","61.15","61.14","61.16","61.07","2.16M","0.11%"
"06/30/2015","61.08","61.05","61.14","61.04","3.26M","-0.02%"
"06/29/2015","61.09","61.02","61.15","60.96","1.94M","0.03%"
"06/26/2015","61.07","61.08","61.14","61.05","4.23M","-0.08%"
"06/25/2015","61.12","61.16","61.20","61.09","2.39M","-0.11%"
"06/24/2015","61.19","61.03","61.21","61.00","2.43M","0.28%"
"06/23/2015","61.02","61.00","61.08","60.98","2.55M","0.07%"
"06/22/2015","60.98","61.13","61.13","60.92","6.10M","-0.20%"
"06/19/2015","61.10","61.12","61.19","61.10","3.32M","-0.07%"
"06/18/2015","61.14","60.57","61.42","60.48","6.33M","1.02%"
"06/17/2015","60.52","60.70","60.70","60.34","2.00M","0.23%"
"06/16/2015","60.38","60.36","60.48","60.30","1.77M","-0.03%"
"06/15/2015","60.40","60.46","60.53","60.31","2.31M","-0.35%"
"06/12/2015","60.61","60.38","60.63","60.36","1.43M","0.28%"
"06/11/2015","60.44","60.48","60.58","60.40","1.54M","0.05%"
"06/10/2015","60.41","60.52","60.64","60.40","1.53M","-0.07%"
"06/09/2015","60.45","60.50","60.51","60.40","2.72M","0.55%"
"06/08/2015","60.12","60.15","60.23","60.06","1.77M","-0.12%"
"06/05/2015","60.19","60.07","60.26","60.05","1.65M","-0.10%"
"06/04/2015","60.25","59.90","60.27","59.83","2.24M","0.69%"
"06/03/2015","59.84","59.83","59.94","59.78","1.90M","0.20%"
"06/02/2015","59.72","59.75","59.86","59.70","1.88M","0.00%"
"06/01/2015","59.72","59.88","59.97","59.67","3.20M","-0.22%"
"05/29/2015","59.85","60.11","60.16","59.74","8.46M","-0.55%"
"05/28/2015","60.18","60.13","60.25","60.09","1.63M","-0.07%"
"05/27/2015","60.22","60.11","60.24","60.06","1.26M","0.25%"
"05/26/2015","60.07","60.15","60.26","60.05","1.88M","-0.28%"
"05/22/2015","60.24","60.14","60.29","60.10","1.41M","0.17%"
"05/21/2015","60.14","60.18","60.25","60.11","1.70M","-0.02%"
"05/20/2015","60.15","60.24","60.29","60.10","1.10M","-0.08%"
"05/19/2015","60.20","60.19","60.38","60.15","1.95M","0.05%"
"05/18/2015","60.17","60.20","60.30","60.10","1.51M","-0.07%"
"05/15/2015","60.21","60.30","60.44","60.14","2.44M","-0.02%"
"05/14/2015","60.22","60.15","60.24","59.99","2.81M","0.27%"
"05/13/2015","60.06","60.01","60.12","59.86","1.87M","0.20%"
"05/12/2015","59.94","59.80","60.12","59.80","3.83M","0.20%"
"05/11/2015","59.82","59.92","59.99","59.75","3.58M","0.28%"
"05/08/2015","59.65","59.93","59.93","59.62","2.70M","-0.23%"
"05/07/2015","59.79","59.50","59.79","59.50","2.11M","0.39%"
"05/06/2015","59.56","59.69","59.69","59.49","4.37M","-0.07%"
"05/05/2015","59.60","59.52","59.64","59.47","3.30M","0.03%"
"05/04/2015","59.58","59.54","59.58","59.42","2.88M","0.22%"
