"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2019","35.47","35.29","35.59","35.03","1.95M","0.25%"
"12/30/2019","35.38","36.07","36.07","35.30","1.23M","-1.59%"
"12/27/2019","35.95","36.33","36.50","35.90","1.44M","-0.50%"
"12/26/2019","36.13","35.89","36.27","35.89","1.20M","0.87%"
"12/24/2019","35.82","35.87","35.96","35.70","412.51K","0.20%"
"12/23/2019","35.75","36.05","36.40","35.68","1.20M","-0.86%"
"12/20/2019","36.06","35.94","36.34","35.60","4.12M","0.73%"
"12/19/2019","35.80","35.47","35.84","34.84","3.32M","0.53%"
"12/18/2019","35.61","34.77","36.31","34.71","4.24M","3.31%"
"12/17/2019","34.47","34.53","34.62","34.27","1.58M","0.00%"
"12/16/2019","34.47","34.51","34.71","34.39","1.57M","1.03%"
"12/13/2019","34.12","34.20","34.36","33.95","1.37M","-0.32%"
"12/12/2019","34.23","33.92","34.47","33.85","2.55M","1.00%"
"12/11/2019","33.89","33.66","34.22","33.56","2.63M","1.07%"
"12/10/2019","33.53","33.50","33.78","33.11","1.64M","0.06%"
"12/09/2019","33.51","33.59","33.97","33.46","2.67M","-0.24%"
"12/06/2019","33.59","33.65","33.72","33.56","3.24M","-0.03%"
"12/05/2019","33.60","33.49","33.65","33.39","2.64M","0.39%"
"12/04/2019","33.47","33.47","33.67","33.43","2.41M","0.27%"
"12/03/2019","33.38","33.30","33.54","33.11","2.59M","-0.83%"
"12/02/2019","33.66","34.19","34.78","33.55","2.85M","-1.49%"
"11/29/2019","34.17","34.65","34.65","33.87","1.73M","-1.64%"
"11/27/2019","34.74","34.96","35.08","34.35","2.06M","-0.34%"
"11/26/2019","34.86","35.34","35.67","34.64","2.63M","-1.75%"
"11/25/2019","35.48","36.30","36.39","35.15","2.77M","-1.88%"
"11/22/2019","36.16","35.96","36.43","35.53","3.56M","1.09%"
"11/21/2019","35.77","36.30","36.66","35.52","3.50M","1.22%"
"11/20/2019","35.34","35.42","35.76","34.93","1.71M","-0.98%"
"11/19/2019","35.69","36.81","36.83","35.44","1.41M","-2.59%"
"11/18/2019","36.64","35.80","36.69","35.52","2.12M","2.32%"
"11/15/2019","35.81","35.52","35.81","35.33","1.61M","0.82%"
"11/14/2019","35.52","35.49","35.90","35.19","1.08M","-0.03%"
"11/13/2019","35.53","35.46","35.81","34.99","1.62M","-0.95%"
"11/12/2019","35.87","35.91","36.39","35.69","2.56M","0.11%"
"11/11/2019","35.83","34.92","36.18","34.76","2.60M","1.44%"
"11/08/2019","35.32","34.55","35.49","34.00","2.29M","1.82%"
"11/07/2019","34.69","35.99","36.00","33.67","5.57M","3.49%"
"11/06/2019","33.52","34.68","35.00","33.20","2.46M","-3.23%"
"11/05/2019","34.64","35.11","35.48","34.49","1.45M","-0.92%"
"11/04/2019","34.96","34.86","35.19","34.73","1.45M","0.29%"
"11/01/2019","34.86","34.68","35.12","34.23","1.29M","1.40%"
"10/31/2019","34.38","34.20","34.51","33.44","1.92M","0.03%"
"10/30/2019","34.37","34.28","34.50","33.97","1.40M","0.12%"
"10/29/2019","34.33","34.79","34.85","34.30","1.08M","-1.72%"
"10/28/2019","34.93","34.98","35.27","34.65","1.43M","0.49%"
"10/25/2019","34.76","34.15","35.26","34.15","1.44M","1.79%"
"10/24/2019","34.15","34.94","35.07","33.69","2.05M","-2.23%"
"10/23/2019","34.93","35.17","35.59","34.54","1.23M","-0.54%"
"10/22/2019","35.12","34.71","35.42","34.55","1.13M","1.47%"
"10/21/2019","34.61","34.90","35.20","34.40","1.23M","-0.46%"
"10/18/2019","34.77","34.86","35.19","34.73","1.23M","-0.32%"
"10/17/2019","34.88","34.83","34.95","34.27","981.14K","0.37%"
"10/16/2019","34.75","34.16","34.84","34.00","1.55M","1.08%"
"10/15/2019","34.38","33.75","34.50","33.67","971.24K","2.20%"
"10/14/2019","33.64","33.97","33.97","33.25","930.63K","-1.23%"
"10/11/2019","34.06","33.40","34.56","33.40","1.91M","2.75%"
"10/10/2019","33.15","32.49","33.33","32.48","1.51M","1.41%"
"10/09/2019","32.69","32.27","32.80","32.10","1.28M","1.90%"
"10/08/2019","32.08","32.72","32.85","32.06","1.74M","-3.23%"
"10/07/2019","33.15","32.91","33.55","32.83","1.43M","0.18%"
"10/04/2019","33.09","33.39","33.39","32.68","1.06M","0.33%"
"10/03/2019","32.98","32.78","33.28","32.39","1.47M","0.15%"
"10/02/2019","32.93","33.42","33.53","32.82","1.57M","-2.28%"
"10/01/2019","33.70","34.27","34.63","33.59","1.46M","-1.09%"
"09/30/2019","34.07","34.17","34.35","33.81","1.76M","0.18%"
"09/27/2019","34.01","34.06","34.69","33.73","1.96M","0.03%"
"09/26/2019","34.00","35.01","35.01","33.90","3.16M","-2.91%"
"09/25/2019","35.02","34.46","35.17","34.43","1.55M","1.13%"
"09/24/2019","34.63","34.62","34.85","34.31","2.29M","0.46%"
"09/23/2019","34.47","34.49","34.83","34.29","1.81M","-0.20%"
"09/20/2019","34.54","35.60","35.61","34.37","4.11M","-2.54%"
"09/19/2019","35.44","35.55","36.22","35.43","2.86M","-0.37%"
"09/18/2019","35.57","35.63","35.77","35.04","2.03M","0.76%"
"09/17/2019","35.30","36.25","36.80","34.76","4.68M","-2.16%"
"09/16/2019","36.08","34.95","36.16","34.90","5.37M","2.33%"
"09/13/2019","35.26","35.94","36.52","35.19","3.12M","-1.76%"
"09/12/2019","35.89","36.59","36.84","35.82","2.58M","-2.02%"
"09/11/2019","36.63","36.93","37.15","36.41","4.27M","-1.40%"
"09/10/2019","37.15","36.25","37.28","36.25","3.05M","2.34%"
"09/09/2019","36.30","35.83","36.35","35.59","2.20M","1.68%"
"09/06/2019","35.70","34.93","35.89","34.71","2.54M","2.44%"
"09/05/2019","34.85","34.60","35.36","34.47","2.12M","1.99%"
"09/04/2019","34.17","33.08","34.27","32.97","2.02M","4.02%"
"09/03/2019","32.85","33.19","33.33","32.49","1.68M","-2.12%"
"08/30/2019","33.56","34.03","34.15","33.41","1.49M","-0.50%"
"08/29/2019","33.73","33.74","34.39","33.66","2.42M","0.87%"
"08/28/2019","33.44","32.48","33.51","32.36","2.19M","3.31%"
"08/27/2019","32.37","32.46","32.95","32.20","2.49M","0.34%"
"08/26/2019","32.26","32.44","32.73","31.83","2.36M","3.93%"
"08/23/2019","31.04","31.43","31.68","30.82","2.84M","-2.14%"
"08/22/2019","31.72","31.91","32.20","31.69","1.65M","-0.47%"
"08/21/2019","31.87","32.40","32.89","31.84","1.45M","-0.84%"
"08/20/2019","32.14","32.50","32.77","31.98","2.22M","-1.38%"
"08/19/2019","32.59","32.47","32.95","32.15","2.17M","1.97%"
"08/16/2019","31.96","32.13","32.28","31.77","1.55M","0.28%"
"08/15/2019","31.87","31.78","32.09","31.45","1.80M","0.50%"
"08/14/2019","31.71","31.88","31.91","31.24","2.22M","-1.70%"
"08/13/2019","32.26","32.16","32.72","32.00","2.19M","0.47%"
"08/12/2019","32.11","32.04","32.28","31.56","1.59M","-0.86%"
"08/09/2019","32.39","32.62","32.80","32.02","1.70M","-1.43%"
"08/08/2019","32.86","32.75","33.42","32.09","3.62M","4.28%"
"08/07/2019","31.51","31.17","31.57","30.58","4.00M","-0.72%"
"08/06/2019","31.74","31.89","32.14","30.80","3.58M","0.06%"
"08/05/2019","31.72","31.70","32.04","31.21","3.12M","-1.43%"
"08/02/2019","32.18","32.57","32.90","31.93","3.25M","-2.34%"
"08/01/2019","32.95","34.00","34.37","32.62","4.97M","-2.69%"
"07/31/2019","33.86","34.88","35.00","33.45","5.53M","-3.12%"
"07/30/2019","34.95","37.53","38.41","34.88","8.48M","-8.70%"
"07/29/2019","38.28","38.72","38.91","37.41","5.30M","-3.11%"
"07/26/2019","39.51","39.30","40.54","38.97","4.89M","0.87%"
"07/25/2019","39.17","40.51","40.88","38.97","4.95M","-5.75%"
"07/24/2019","41.56","44.65","44.66","41.39","7.53M","-3.93%"
"07/23/2019","43.26","42.02","43.62","41.49","4.42M","3.37%"
"07/22/2019","41.85","41.00","42.11","40.73","3.40M","2.35%"
"07/19/2019","40.89","40.96","41.10","40.34","2.51M","0.15%"
"07/18/2019","40.83","40.58","40.94","40.31","1.77M","-0.05%"
"07/17/2019","40.85","41.13","41.37","40.52","1.12M","-0.95%"
"07/16/2019","41.24","41.84","42.10","41.12","1.53M","-1.34%"
"07/15/2019","41.80","41.96","42.04","41.45","1.78M","-0.17%"
"07/12/2019","41.87","40.87","41.97","40.74","1.53M","2.57%"
"07/11/2019","40.82","40.73","41.47","40.03","1.90M","0.39%"
"07/10/2019","40.66","41.00","41.27","40.18","1.97M","-0.17%"
"07/09/2019","40.73","39.75","40.84","39.72","2.31M","2.23%"
"07/08/2019","39.84","39.82","40.54","39.81","2.03M","-0.33%"
"07/05/2019","39.97","39.41","40.14","39.41","1.24M","0.93%"
"07/03/2019","39.60","39.17","40.67","39.16","1.81M","1.10%"
"07/02/2019","39.17","38.81","41.18","38.53","3.98M","0.80%"
"07/01/2019","38.86","39.08","39.27","38.23","1.67M","1.17%"
"06/28/2019","38.41","38.21","38.47","37.97","2.63M","0.63%"
"06/27/2019","38.17","37.51","38.39","37.44","1.51M","1.76%"
"06/26/2019","37.51","37.92","38.24","37.43","1.41M","-0.71%"
"06/25/2019","37.78","38.49","38.49","37.44","2.89M","-2.10%"
"06/24/2019","38.59","39.00","39.35","38.36","1.93M","-1.08%"
"06/21/2019","39.01","39.17","39.45","38.46","3.40M","-0.20%"
"06/20/2019","39.09","39.72","40.25","38.95","4.29M","0.46%"
"06/19/2019","38.91","39.16","39.35","38.65","4.98M","-0.49%"
"06/18/2019","39.10","39.59","41.39","38.16","6.27M","0.28%"
"06/17/2019","38.99","37.78","39.45","36.83","5.01M","3.86%"
"06/14/2019","37.54","37.82","38.13","37.23","2.35M","-0.92%"
"06/13/2019","37.89","37.81","38.10","37.30","1.88M","0.96%"
"06/12/2019","37.53","37.16","37.98","37.05","1.56M","0.78%"
"06/11/2019","37.24","37.51","37.90","37.02","1.82M","-0.29%"
"06/10/2019","37.35","37.31","38.30","36.93","2.82M","0.67%"
"06/07/2019","37.10","36.22","38.47","35.97","4.27M","2.54%"
"06/06/2019","36.18","36.23","36.47","35.82","1.77M","0.72%"
"06/05/2019","35.92","36.36","36.59","35.56","2.74M","-0.91%"
"06/04/2019","36.25","35.83","36.43","35.59","3.14M","2.03%"
"06/03/2019","35.53","36.06","36.78","35.33","3.51M","-1.61%"
"05/31/2019","36.11","34.88","36.17","34.86","4.09M","3.88%"
"05/30/2019","34.76","34.92","36.22","34.03","3.95M","-0.32%"
"05/29/2019","34.87","34.87","35.48","34.56","1.99M","-0.82%"
"05/28/2019","35.16","34.73","35.62","34.56","2.32M","2.75%"
"05/24/2019","34.22","34.58","34.85","34.19","1.32M","-0.12%"
"05/23/2019","34.26","34.38","35.13","34.10","2.40M","-1.75%"
"05/22/2019","34.87","34.82","35.32","34.31","1.85M","-0.37%"
"05/21/2019","35.00","33.42","35.10","33.34","3.58M","5.29%"
"05/20/2019","33.24","35.09","35.30","31.01","8.87M","-5.92%"
"05/17/2019","35.33","34.70","35.65","34.67","1.43M","0.74%"
"05/16/2019","35.07","34.80","35.59","34.63","1.53M","0.52%"
"05/15/2019","34.89","34.17","34.94","33.85","1.83M","1.51%"
"05/14/2019","34.37","34.18","34.84","34.03","1.69M","0.97%"
"05/13/2019","34.04","34.67","35.02","33.68","2.15M","-4.00%"
"05/10/2019","35.46","34.63","35.58","34.40","2.28M","1.98%"
"05/09/2019","34.77","34.64","34.92","34.09","1.59M","-0.46%"
"05/08/2019","34.93","34.62","35.84","34.54","2.85M","0.98%"
"05/07/2019","34.59","34.27","34.63","33.90","2.58M","-0.35%"
"05/06/2019","34.71","35.17","35.21","34.41","2.39M","-1.05%"
"05/03/2019","35.08","33.64","35.69","33.25","4.16M","4.40%"
"05/02/2019","33.60","34.79","34.79","33.10","4.00M","-3.09%"
"05/01/2019","34.67","35.11","35.48","34.64","2.02M","-1.28%"
"04/30/2019","35.12","35.32","35.46","34.61","2.26M","-0.87%"
"04/29/2019","35.43","34.84","35.57","34.78","2.27M","1.84%"
"04/26/2019","34.79","33.88","34.93","33.85","1.45M","2.75%"
"04/25/2019","33.86","34.19","34.39","33.74","1.23M","-0.85%"
"04/24/2019","34.15","33.61","34.46","33.36","2.10M","1.46%"
"04/23/2019","33.66","33.78","34.12","33.48","2.15M","-0.27%"
"04/22/2019","33.75","34.74","34.77","33.57","2.53M","-3.27%"
"04/18/2019","34.89","34.64","35.07","34.08","2.02M","0.58%"
"04/17/2019","34.69","34.53","35.43","34.30","3.15M","1.67%"
"04/16/2019","34.12","34.30","34.49","33.98","1.53M","-0.32%"
"04/15/2019","34.23","34.31","34.63","33.96","1.41M","-0.20%"
"04/12/2019","34.30","35.04","35.51","34.09","2.52M","-1.21%"
"04/11/2019","34.72","34.71","34.87","34.36","1.35M","0.32%"
"04/10/2019","34.61","33.69","34.68","33.41","1.60M","2.61%"
"04/09/2019","33.73","33.74","34.08","33.44","1.83M","-0.76%"
"04/08/2019","33.99","34.50","34.65","33.92","1.73M","-2.05%"
"04/05/2019","34.70","33.83","34.83","33.64","2.19M","2.63%"
"04/04/2019","33.81","33.02","33.86","32.90","1.34M","2.67%"
"04/03/2019","32.93","33.34","33.74","32.78","2.29M","-0.87%"
"04/02/2019","33.22","33.14","33.39","32.70","1.88M","0.24%"
"04/01/2019","33.14","32.05","33.19","32.03","2.32M","4.58%"
"03/29/2019","31.69","31.34","31.75","31.05","2.05M","1.47%"
"03/28/2019","31.23","31.39","31.64","30.99","1.26M","-0.32%"
"03/27/2019","31.33","31.59","31.85","30.95","2.05M","-0.67%"
"03/26/2019","31.54","30.71","31.61","30.58","1.48M","2.97%"
"03/25/2019","30.63","31.31","31.45","30.45","1.67M","-2.05%"
"03/22/2019","31.27","32.13","32.21","31.05","1.57M","-2.98%"
"03/21/2019","32.23","31.55","32.25","31.41","1.71M","2.19%"
"03/20/2019","31.54","32.07","32.23","31.12","2.03M","-1.62%"
"03/19/2019","32.06","32.47","32.72","31.85","1.58M","-1.08%"
"03/18/2019","32.41","32.66","32.89","32.27","1.69M","-0.49%"
"03/15/2019","32.57","32.57","32.90","32.14","2.88M","0.00%"
"03/14/2019","32.57","32.35","32.58","32.10","1.64M","0.68%"
"03/13/2019","32.35","32.28","32.55","32.03","2.69M","0.59%"
"03/12/2019","32.16","32.36","32.41","31.80","2.08M","-0.25%"
"03/11/2019","32.24","31.87","32.65","31.78","2.16M","1.54%"
"03/08/2019","31.75","31.76","31.91","31.56","1.68M","-1.31%"
"03/07/2019","32.17","31.91","32.56","31.54","3.37M","0.72%"
"03/06/2019","31.94","31.17","32.07","30.78","3.50M","2.57%"
"03/05/2019","31.14","33.49","33.49","31.03","4.32M","-6.96%"
"03/04/2019","33.47","32.58","33.73","32.58","4.35M","3.85%"
"03/01/2019","32.23","32.68","32.87","32.17","1.98M","-0.86%"
"02/28/2019","32.51","31.94","32.52","31.87","2.03M","1.72%"
"02/27/2019","31.96","31.74","32.20","31.52","1.83M","0.13%"
"02/26/2019","31.92","31.85","32.15","31.53","2.18M","-0.09%"
"02/25/2019","31.95","33.05","33.25","31.94","2.38M","-2.65%"
"02/22/2019","32.82","31.50","32.88","31.48","3.71M","4.82%"
"02/21/2019","31.31","31.26","31.34","30.71","2.40M","0.16%"
"02/20/2019","31.26","30.61","31.38","30.44","3.71M","1.69%"
"02/19/2019","30.74","30.67","31.12","30.54","2.53M","-0.52%"
"02/15/2019","30.90","29.91","30.96","29.56","3.20M","4.04%"
"02/14/2019","29.70","28.57","30.02","28.51","5.46M","2.91%"
"02/13/2019","28.86","29.29","30.26","28.24","13.39M","-7.68%"
"02/12/2019","31.26","31.21","31.54","31.12","3.40M","0.35%"
"02/11/2019","31.15","31.67","31.70","31.12","2.13M","-1.24%"
"02/08/2019","31.54","30.87","31.58","30.58","2.74M","1.51%"
"02/07/2019","31.07","31.17","31.47","30.52","2.92M","-0.89%"
