"Date","Price","Open","High","Low","Vol.","Change %"
"12/20/2018","92.33","95.57","95.87","92.11","31.61M","-3.62%"
"12/19/2018","95.80","94.98","97.70","94.60","12.74M","0.81%"
"12/18/2018","95.03","97.21","97.73","94.53","6.04M","-1.67%"
"12/17/2018","96.64","97.40","97.66","96.26","6.95M","-1.61%"
"12/14/2018","98.22","99.87","99.98","97.76","8.03M","-0.74%"
"12/13/2018","98.95","97.09","99.18","97.09","8.43M","2.08%"
"12/12/2018","96.93","97.62","97.97","96.85","4.12M","0.53%"
"12/11/2018","96.42","97.08","97.54","95.70","4.50M","0.43%"
"12/10/2018","96.01","96.28","96.59","94.55","3.47M","0.17%"
"12/07/2018","95.85","97.70","98.57","95.53","5.39M","-2.17%"
"12/06/2018","97.98","97.47","99.10","96.03","5.03M","-0.90%"
"12/04/2018","98.87","100.64","100.95","98.73","5.42M","-1.76%"
"12/03/2018","100.64","101.51","101.73","99.50","6.01M","-0.82%"
"11/30/2018","101.47","101.01","101.49","100.39","4.67M","0.25%"
"11/29/2018","101.22","100.41","101.71","100.28","3.26M","0.12%"
"11/28/2018","101.10","99.61","101.19","99.24","5.98M","1.57%"
"11/27/2018","99.54","99.09","99.57","98.11","4.54M","0.42%"
"11/26/2018","99.12","97.45","99.84","97.19","5.13M","2.39%"
"11/23/2018","96.81","94.53","97.02","92.95","1.44M","1.55%"
"11/21/2018","95.33","95.05","97.12","95.05","6.47M","0.04%"
"11/20/2018","95.29","97.27","97.70","95.19","7.93M","-1.66%"
"11/19/2018","96.90","97.70","97.96","96.47","3.76M","-0.76%"
"11/16/2018","97.64","97.23","98.13","97.23","3.63M","0.18%"
"11/15/2018","97.46","95.97","98.13","95.66","3.32M","1.02%"
"11/14/2018","96.48","97.16","97.75","96.38","3.87M","-0.41%"
"11/13/2018","96.88","98.60","98.72","96.76","4.44M","-1.34%"
"11/12/2018","98.20","98.67","99.02","98.16","2.93M","-0.28%"
"11/09/2018","98.48","99.35","99.66","98.45","3.39M","-0.85%"
"11/08/2018","99.32","99.00","99.90","98.85","3.99M","-0.16%"
"11/07/2018","99.48","98.93","100.43","98.86","5.33M","1.31%"
"11/06/2018","98.19","97.68","98.54","97.31","3.56M","0.76%"
"11/05/2018","97.45","96.75","97.93","96.75","2.32M","0.73%"
"11/02/2018","96.74","98.00","98.09","95.92","2.34M","-0.51%"
"11/01/2018","97.24","98.00","98.98","96.11","3.95M","0.28%"
"10/31/2018","96.97","95.74","97.63","95.43","4.25M","1.62%"
"10/30/2018","95.42","95.40","95.84","94.43","2.72M","0.58%"
"10/29/2018","94.87","95.05","95.88","93.63","2.91M","0.63%"
"10/26/2018","94.28","94.37","95.27","93.62","3.49M","-1.18%"
"10/25/2018","95.41","92.60","95.72","92.17","3.97M","3.72%"
"10/24/2018","91.99","95.41","95.83","91.92","5.07M","-3.69%"
"10/23/2018","95.51","94.32","95.56","93.84","2.83M","0.55%"
"10/22/2018","94.99","95.10","95.77","94.50","2.37M","-0.33%"
"10/19/2018","95.30","95.62","96.97","94.94","2.44M","-0.88%"
"10/18/2018","96.15","95.59","96.48","95.46","2.56M","0.40%"
"10/17/2018","95.77","96.20","96.38","94.90","2.70M","-0.47%"
"10/16/2018","96.22","94.24","96.34","94.07","2.75M","2.89%"
"10/15/2018","93.52","93.94","94.78","93.50","2.80M","-0.82%"
"10/12/2018","94.29","94.49","95.09","94.01","3.05M","0.59%"
"10/11/2018","93.74","95.08","95.39","93.30","3.57M","-1.19%"
"10/10/2018","94.87","96.67","97.22","94.87","3.60M","-1.69%"
"10/09/2018","96.50","95.53","96.68","95.17","1.87M","0.94%"
"10/08/2018","95.60","96.07","96.44","94.92","2.47M","-0.45%"
"10/05/2018","96.03","95.50","96.21","95.29","2.34M","0.81%"
"10/04/2018","95.26","95.05","95.68","94.96","2.24M","-0.08%"
"10/03/2018","95.34","95.50","96.14","94.57","4.20M","0.07%"
"10/02/2018","95.27","95.20","95.75","95.07","2.67M","0.22%"
"10/01/2018","95.06","95.25","96.36","94.96","3.05M","0.05%"
"09/28/2018","95.01","94.86","95.37","94.30","5.12M","0.21%"
"09/27/2018","94.81","94.31","95.21","94.11","2.44M","0.56%"
"09/26/2018","94.28","94.40","95.11","93.80","4.30M","0.21%"
"09/25/2018","94.08","94.39","94.51","92.41","5.50M","-0.34%"
"09/24/2018","94.40","94.15","94.85","94.00","3.97M","-0.19%"
"09/21/2018","94.58","95.19","95.51","94.48","8.31M","-0.48%"
"09/20/2018","95.04","94.79","95.38","94.79","5.35M","0.42%"
"09/19/2018","94.64","94.65","95.51","94.38","5.00M","-0.32%"
"09/18/2018","94.94","94.95","96.05","94.28","10.89M","-0.30%"
"09/17/2018","95.23","91.98","96.45","91.52","10.30M","3.71%"
"09/14/2018","91.82","91.02","91.88","91.01","2.72M","0.55%"
"09/13/2018","91.32","90.07","91.37","90.07","2.89M","1.50%"
"09/12/2018","89.97","89.26","90.05","89.26","3.30M","0.36%"
"09/11/2018","89.65","89.45","90.03","88.34","3.01M","-0.55%"
"09/10/2018","90.15","90.72","91.36","90.09","2.74M","-0.72%"
"09/07/2018","90.80","90.10","91.03","89.46","4.54M","0.63%"
"09/06/2018","90.23","89.55","90.38","89.05","7.02M","0.45%"
"09/05/2018","89.83","86.71","90.75","85.78","8.44M","3.31%"
"09/04/2018","86.95","88.21","88.21","86.93","3.20M","-1.22%"
"08/31/2018","88.02","88.09","88.44","87.88","3.26M","-0.27%"
"08/30/2018","88.26","88.75","89.60","88.13","2.80M","-0.30%"
"08/29/2018","88.53","88.30","88.85","88.01","2.88M","0.50%"
