,2015-1,2015-2,2015-3,2015-4,2015-5,2015-6,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12
ADBE,-0.01027008951540495,-0.010326214662247105,-0.011384721362583467,-0.010671707144365987,-0.010009026897885243,-0.010227041035000871,-0.009766235186644077,-0.01190382803768786,-0.014983035755915211,-0.01772269073908981,-0.02308988453408001,-0.02246226260208515,-0.02037002974220824,-0.017796168542827912,-0.027664754385990198,-0.02703441482953125,-0.027651539565952874,-0.0272324213929967,-0.02647571620174201,-0.027515319228173685,-0.02696931926660888,-0.027228131538292722,-0.029573784477887062,-0.03196448285557073,-0.03342827476897164,-0.03157299853439059,-0.030476159564512172,-0.02592546184390683,-0.025778349536019124,-0.025746859860829474,-0.024863883452016802,-0.02354985326663836,-0.02236478401957992,-0.02274797091450962,-0.016537876914992623,-0.015819632096080994,-0.01663656996704069,-0.01596173353129133,-0.013059517629696895,-0.013774907584033562,-0.014242214762405028,-0.009767599387499546,-0.01037985116464275,-0.011335289763046149,-0.011718349823288527,-0.011059914619881251,-0.015081930949488325,-0.020082232370539486,-0.02702869987112308,-0.027631178821962615,-0.028008287713647967,-0.026522857125857478,-0.02369862884244233,-0.023853781411098975,-0.024688332823834775,-0.025434473677523082,-0.02759558122573058,-0.027278902409008047,-0.027468901019659202,-0.024237627208540415
AKAM,-0.030271250586514996,-0.02913457635368704,-0.027544918701955662,-0.026095086374509538,-0.025745651809313735,-0.02538815867772782,-0.0259774564370054,-0.02525215840780702,-0.02436897275121234,-0.02512863418469436,-0.02870088663793399,-0.029550671420461846,-0.030196972012408126,-0.031340155969248384,-0.028280396588817543,-0.02883500728962262,-0.031189670103934405,-0.031890077208182016,-0.03206773063539138,-0.034456240600759296,-0.03445127862501573,-0.03540978024717246,-0.027683615998795274,-0.02927054121840095,-0.02938707940195268,-0.03008452705239632,-0.030159412357288005,-0.03127576801713833,-0.030058865079588354,-0.03494987793277153,-0.03516521775387613,-0.03447406465671774,-0.033985544879922135,-0.035357450272240534,-0.03449610463502056,-0.03259558432016994,-0.030099489950079533,-0.03050262563197959,-0.031745415227890005,-0.03125286332915311,-0.031988013565990944,-0.030681023412914305,-0.030611676495965814,-0.030649462613059245,-0.031232564212977015,-0.0321025763608075,-0.032315611590593075,-0.035720576354620136,-0.03579805788695013,-0.036340744316393024,-0.03585057493345097,-0.03591379981661416,-0.035014378804649006,-0.03286104687178117,-0.033721330405565866,-0.030702106241887146,-0.030477197519025362,-0.03098390764143426,-0.03137418066848643,-0.03216135232290875
AMZN,-0.0032069918349878546,-0.0004664318173390452,-0.002889937031739051,-0.004982160934298161,-0.004763004708616885,-0.00410541689609854,-0.004936321763485348,-0.003693597038985401,-0.006756836495344738,-0.008198419553733455,-0.007401381559114745,-0.007258852096917422,-0.004806519846306622,-0.010490733095473971,-0.012310570131711236,-0.013679535451289731,-0.009141579086450063,-0.009048389014239844,-0.007490507182210593,-0.008414259159916983,-0.008105475319734825,-0.005121677648401454,-0.0075569791310744604,-0.0093191884464268,-0.009775690472364602,-0.009177929566058224,-0.009064246433518879,-0.008456811798347633,-0.008784268038659636,-0.007558284447281738,-0.0066264606718478,-0.006623255855757439,-0.006967749354776245,-0.008230970177134315,-0.0062628611258181525,-0.005717082688483848,-0.0060192957100110335,-0.0029666879867532026,0.002561925304216053,0.005093755364184568,0.00595759811913279,0.00511157491016896,0.005306013400304434,0.00838622479079309,0.008009226154283221,0.006696119516914246,-0.00031010650297597087,0.0008700491612069046,-0.005044199658708184,-0.004591402314513042,-0.008748684720043011,-0.00770433924734976,-0.0065232199631557915,-0.005687035445994925,-0.006168793172022444,-0.006914310724792028,-0.007047656440024183,-0.004461310537291241,-0.0044487252440159495,-0.005700243164552175
AAL,-0.009820115212392708,-0.011378121637990166,-0.01247651717283582,-0.011308448733601893,-0.011443230535563356,-0.012151990212567243,-0.012463867421276378,-0.010683736930678287,-0.010209502115317255,-0.00886703977953247,-0.010091759049207776,-0.009124212366197277,-0.009668187268469193,-0.006133193483662635,-0.003212928320742784,-0.002777611487609755,-0.004573353996987323,-0.004121656254529958,-0.0068871301007035115,-0.005399210013752476,-0.0045670452016277775,-0.003883062021328561,0.0005341846036329185,0.003240290608926616,0.002443240817486396,-9.640897129688616e-05,-0.0004981580718967221,-0.0018683943571898218,-0.0018189110185179713,-0.0023858471923412367,0.0004294704892928228,-0.00046954547260853047,-0.0033046799652021886,-0.0025425560078562066,-0.0039266654408954,-0.004051885985996261,-0.0034866477991197125,-0.004146413592383165,-0.0031642045669857447,-0.0031690410194402073,-0.005103735940328128,-0.005808931794712799,-0.007524353842830317,-0.0064697702634220625,-0.006986812192158029,-0.00688898813744868,-0.007271184484865262,-0.004777980000621434,-0.0067619924270273385,-0.006050023832792864,-0.006890394046604013,-0.008242252024822316,-0.008170715371197318,-0.009907752006749985,-0.009529747186317513,-0.010425322183116276,-0.010964479240959033,-0.010410973002411658,-0.009667730120129128,-0.010850012287887692
AMGN,0.03210057134765007,0.028704905922764465,0.030518089965710527,0.027730646539573797,0.027918489948837395,0.026503871604837297,0.024178968138527067,0.027931824271769153,0.02047676489410205,0.015387804875519223,0.01819703086188387,0.0190295927917718,0.016057119924685476,0.019081187649223556,0.014851095590130866,0.016219575431011993,0.020721732421670663,0.021355668101579274,0.022838621295199677,0.025186484404099502,0.02604545835853892,0.02399012760468288,0.01827724300429795,0.016830008725750252,0.01801969525028594,0.025191682432112363,0.031249864500737485,0.02866795486055962,0.028601449418805824,0.02920927673844448,0.03232778559481603,0.03370626885577205,0.031107130201536486,0.03405095745882258,0.03501205319305335,0.03250069227106933,0.030716360251643527,0.0309479010138166,0.03640996818483646,0.028178763165851488,0.03292290351164857,0.03644697035801795,0.03493553296158007,0.0346526594940737,0.03601057570814577,0.03679591387074388,0.036473025776683606,0.03806744036911575,0.04311384077109853,0.027789022834245503,0.030171033058153718,0.029260536616335025,0.02419197639437099,0.02213147075644524,0.02695191256835735,0.03455742551286727,0.04157929671884145,0.03221233156828659,0.03600252899916022,0.03871641570035188
ADI,-0.016121238705969293,-0.020309903038802878,-0.021287032939409988,-0.0236160994591374,-0.020910480039147302,-0.018441698137826826,-0.017852660173734804,-0.019966207806751048,-0.040120192453571464,-0.04601376229320172,-0.030306286413563775,-0.03374849514053124,-0.03628222734438681,-0.03832661961849458,-0.041877418303709,-0.036244943527382584,-0.03889740411708015,-0.04133245586294202,-0.04835167373635056,-0.04671789480116907,-0.048796696583824434,-0.05196845208246528,-0.05322355094660726,-0.04101958881132814,-0.04398805226598673,-0.041350678145896706,-0.03394498018639065,-0.02060810625644674,-0.02918796693346884,-0.0229919751987393,-0.02716297217198732,-0.02907677143264864,-0.02865854071721184,-0.030669173896728956,-0.03208725930320698,-0.03481895281821864,-0.033737281770868835,-0.030160868500110086,-0.027889901301299508,-0.027011585583417153,-0.024562915286020903,-0.020959572566582103,-0.018047902758208396,-0.02107119336256695,-0.018058826068406836,-0.021437484802463908,-0.014707746397762777,-0.0017034301361627136,0.006594620341677154,0.006044166246936766,0.007370185241865834,0.0057980357958799245,0.009855004101975193,0.006719963286744804,0.007248764028325888,0.005145100333784347,0.0015049680234286988,-0.000513304201434639,-0.005791109323842206,-0.001598555050596464
AAPL,0.07632045023831728,0.07650132077770037,0.076249734342904,0.07625241447764318,0.07619128575708567,0.07454433211537351,0.0756123797762812,0.07208026745200688,0.07042358819286051,0.06931452314139754,0.07033628710479807,0.07177343163777335,0.06720973669325164,0.06485161968962619,0.07162553001734731,0.07191559107820042,0.06626414880378402,0.0679201334403546,0.06624989053604974,0.06687344968178027,0.06851279415797439,0.07124048718896346,0.07378722900641918,0.07128247950442436,0.0745858730738812,0.07481480800610778,0.0794115584651781,0.08038930880269421,0.0796508426060129,0.07819728174550009,0.07844601413055302,0.07951037603192052,0.08256336082529202,0.07891340376956804,0.08079061337965025,0.07791973594720766,0.07711445017510861,0.07444053889675774,0.08069357641320628,0.0809809343054239,0.08060784112179113,0.08590499961869837,0.08566217137546205,0.08557919232224037,0.08883390300371478,0.0865428762753171,0.09071032224917071,0.07640560146678052,0.07401305024714583,0.07001027727284602,0.06976974727066518,0.07089657260262752,0.06947902048303206,0.06990699982582117,0.07022681392776745,0.07309191147693395,0.0706685267054036,0.07438320414612329,0.07811673927081351,0.0795919181341138
AMAT,0.0005503603401680549,-0.0008974873805096782,0.0012247138711398604,0.0004014456274185514,-0.007482589237591625,-0.0070903260627906105,-0.004897138893101224,-0.00897503615885033,-0.009598407107016932,-0.00736725230124689,-0.009726158999169785,-0.0075041223690255066,-0.0044005367924928665,-0.013267570842630257,-0.011388551802884499,-0.012834144020657471,-0.015381419272538995,-0.007483879049005703,-0.00980337430658276,-0.009379352005350793,-0.0020540770783346314,-0.0032959564524844224,-0.006132082879869552,-0.007414251470222434,-0.007169858913721105,-0.005958292098853182,-0.0038440433932778136,-0.003941279494072136,-0.0037610339032270734,-0.001139787278176596,-0.009204645031973935,-0.005411997158424081,-0.007211292668060157,-0.003660351298464374,-0.003120512432274415,-0.0039010631951010635,-0.005106155905672809,-0.0056357863185649976,-0.010194688169801798,-0.014880641106858102,-0.022543414316503443,-0.02666947791744517,-0.025398148933247974,-0.024652059537940568,-0.02508844049397361,-0.02660764490223351,-0.0326437017998648,-0.024301392161534312,-0.032772786768661896,-0.029780942311916636,-0.03193137641374355,-0.03194041420077639,-0.03150422816163582,-0.02680928969684114,-0.023482150878459056,-0.023059803657421267,-0.021868132326447798,-0.025545080113816836,-0.02547906775620836,-0.021322254243444624
ADSK,-0.041960460472955714,-0.04207390947562344,-0.0394074585444007,-0.040500910026562253,-0.04298170168194674,-0.04308884336250153,-0.044804365024231574,-0.042236855383692436,-0.039727669690136816,-0.03765954943171065,-0.03367157875558331,-0.027091454949628696,-0.025903174321195065,-0.03706346074825744,-0.02854356727640729,-0.02447741817852265,-0.02267888365324722,-0.024922400589729783,-0.0255350169801811,-0.023906136945505238,-0.02147424933947176,-0.019990942898465522,-0.02107450786697053,-0.02599894934480874,-0.02555538320748003,-0.024147160404107373,-0.023760747647462062,-0.028015264581641705,-0.027888460896570585,-0.023921007286661772,-0.026615122343800562,-0.025162642238732616,-0.026198611128771677,-0.02761439092775868,-0.02748370659963262,-0.02918501626036501,-0.03136107993185228,-0.03142992476624172,-0.031538814808698294,-0.022949919017071357,-0.022224843723560383,-0.023066101696076386,-0.022850658615023115,-0.025550600604797347,-0.02230024201384737,-0.022622341514694562,-0.027252636437776406,-0.024227900490416933,-0.02368949253910925,-0.024196716467836346,-0.023193971917629133,-0.024442043167019076,-0.02201746258677346,-0.022422494819407817,-0.02678805045614123,-0.028667917548570093,-0.02838286469067795,-0.02705517144536703,-0.028879305286186256,-0.024519325073279415
ADP,0.030731516471619556,0.030234802233415126,0.022528983007407223,0.02050821023642664,0.020321586556551044,0.01337755978099685,0.005613959200074077,0.01062401584302548,-0.012500575312863634,-0.0037182784854483154,-0.003990286871779251,-0.004181570065900475,-0.007190618212961684,-0.01577998385024164,0.018091773763920627,0.018395196207422162,0.03346144381767309,0.018660583789316985,0.01899946622503786,0.011086467385750445,0.016005450938393118,0.02528407325932557,0.033582936702373924,0.05305727933852684,0.06479507789447632,0.05638681362146612,0.041500685004593016,0.051973953845132814,0.05190860089445726,0.03459402006158829,0.053387856878620354,0.05465073255400288,0.02676498403657284,0.029964281894295383,0.035126152149839183,0.02120704859049647,0.024735107604686238,0.025710001406404517,0.01871133033115345,0.01690456100727683,0.02505647334529886,0.039969616136754024,0.03695049336667669,0.033377891427971484,0.03805035813453344,0.04244476698078106,0.03410859247100908,0.028909576999771307,0.026571776672565106,0.02010875554041014,0.021983197094360474,0.023378832914299166,0.020782643270069637,0.016404512969274976,0.01718735510684058,0.02403902666475264,0.023032545409700185,0.014884016435658141,0.013420391953405678,0.013434613361861993
